uuid,Void/Retire,Fully specified name:en,Description:en,Data class,Data type,Answers,Members,Same as mappings,Absolute high,Critical high,Normal high,Absolue low,Critical low,Normal low,Units,Display precision,Allow decimals
a899b42e-1350-11df-a1f1-0026b9348838,,"NO","Generic answer to a question.",Misc,N/A,,,MCL/CIEL: 1066;local: 1066,,,,,,,,,,
5738416d-665d-4955-be8a-dec9339fc0a6,,"SPEND DAYS ON THE STREET","Question on encounter:" Did the patient spend day on the street?"",Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
fa40fa53-fdd4-4d17-a80e-190b47fab82a,,"SPEND NIGHTS ON THE STREET","Question on encounter: " Did the patient spend night on the street?"",Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
474551e6-9192-4cd8-a472-b12d481b5b6b,,"LESS THAN SIX MONTHS","Descriptive term: less than six months.",Misc,N/A,,,,,,,,,,,,,
16162207-f6b6-4c1b-b2bd-95efc49242f0,,"SIX MONTHS TO ONE YEAR","Time range between six months to one year.",Misc,N/A,,,,,,,,,,,,,
fc9fe6c0-81a5-4cb4-a2a8-ad39fa9fd774,,"ONE TO TWO YEARS","Time range which is between one and two years.",Misc,N/A,,,,,,,,,,,,,
82682acf-8e0d-4c3d-beb8-b2927a428359,,"TWO TO FIVE YEARS","Time range which is between two and five years.",Misc,N/A,,,,,,,,,,,,,
6c3df06c-8bc0-457d-9291-1a3ddca225c4,,"GREATER THAN FIVE YEARS","Time range which is greater than 5 years.",Misc,N/A,,,,,,,,,,,,,
1accf04f-99bc-44a4-b466-5f3075c3f15d,,"LENGTH OF TIME INVOLVED IN THE STREET","Question on encounter, asking the length of time the patient has been involved in the street.",Question,Coded,474551e6-9192-4cd8-a472-b12d481b5b6b;16162207-f6b6-4c1b-b2bd-95efc49242f0;fc9fe6c0-81a5-4cb4-a2a8-ad39fa9fd774;82682acf-8e0d-4c3d-beb8-b2927a428359;6c3df06c-8bc0-457d-9291-1a3ddca225c4,,,,,,,,,,,,
1f42592a-5e61-47bc-b8af-1f0b95e008c9,,"PATIENT IN CONTACT WITH FAMILY MEMBERS, DETAILED","A concept set for storing "Patient in contact with family members" and "Free text for other"",ConvSet,N/A,,0ed530ce-5658-45fe-aa57-6e49a7d2d430;a8a06fc6-1350-11df-a1f1-0026b9348838,,,,,,,,,,,
a899e0ac-1350-11df-a1f1-0026b9348838,,"NONE","Generic descriptive answer.",Misc,N/A,,,MCL/CIEL: 1107;local: 1107,,,,,,,,,,
0ed530ce-5658-45fe-aa57-6e49a7d2d430,,"PATIENT IN CONTACT WITH FAMILY MEMBERS","Family members in contact with patient.",Question,Coded,a899e0ac-1350-11df-a1f1-0026b9348838;a89ebec4-1350-11df-a1f1-0026b9348838;a898c32a-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
a8a06fc6-1350-11df-a1f1-0026b9348838,,"FREETEXT GENERAL","This is a freetext field for general use.  It should be tied to another concept as a child.",Question,Text,,,MCL/CIEL: 160632,,,,,,,,,,
a8a05dc4-1350-11df-a1f1-0026b9348838,,"ONCE A DAY","General description of frequency:  once times a day.",Misc,N/A,,,MCL/CIEL: 160862,,,,,,,,,,
a899d8d2-1350-11df-a1f1-0026b9348838,,"WEEKLY","Time descriptor. Every week.",Misc,N/A,,,local: 1099;MCL/CIEL: 1099,,,,,,,,,,
a899d7f6-1350-11df-a1f1-0026b9348838,,"MONTHLY","Time descriptor.  Every month.",Misc,N/A,,,MCL/CIEL: 1098;local: 1098,,,,,,,,,,
ea2cc3f3-dcb1-4502-b7bc-140ec95bb21b,,"FEW TIMES IN A YEAR","Indicates that a condition occurs few times in a year.",Misc,N/A,,,,,,,,,,,,,
a899d120-1350-11df-a1f1-0026b9348838,,"NEVER","Generic response to a question.",Misc,N/A,,,local: 1090;MCL/CIEL: 1090,,,,,,,,,,
c8c36b3c-f7c8-468a-acc2-b0b2b3d69f79,,"FAMILY CONTACT FREQUENCY","A question to capture the frequency with which a patient is in contact with family member.",Question,Coded,a8a05dc4-1350-11df-a1f1-0026b9348838;a899d8d2-1350-11df-a1f1-0026b9348838;a899d7f6-1350-11df-a1f1-0026b9348838;ea2cc3f3-dcb1-4502-b7bc-140ec95bb21b;a899d120-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
053ec791-2371-4c87-88a1-86a1abeed90c,,"CURRENTLY SEXUALLY ACTIVE","A question to ask if the patient is currently sexually active. ",Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
a8a003a6-1350-11df-a1f1-0026b9348838,,"HOSPITALIZATION SINCE LAST VISIT, DETAILED","A concept set for storing patient's hospitalization since last visit.",ConvSet,N/A,,a898c56e-1350-11df-a1f1-0026b9348838;a89c2420-1350-11df-a1f1-0026b9348838;a8a07a48-1350-11df-a1f1-0026b9348838;a8a06fc6-1350-11df-a1f1-0026b9348838,,,,,,,,,,,
a898c56e-1350-11df-a1f1-0026b9348838,,"HOSPITALIZED SINCE LAST VISIT","Question on encounter form:  "Has the patient been hospitalized since last visit?"",Question,Boolean,,,local: 976;MCL/CIEL: 976,,,,,,,,,,
a8a07a48-1350-11df-a1f1-0026b9348838,,"ADMISSION DIAGNOSIS","Patient's admission diagnosis for hospital stay.",Diagnosis,Coded,,,,,,,,,,,,,
7ccac7e4-f399-48b9-b2c7-944b98ec53b1,,"SICKLE CELL DISEASE","Sickle-cell disease (SCD), or sickle-cell anaemia (or anemia; SCA) or drepanocytosis, is an autosomal recessive genetic blood disorder, with overdominance, characterized by red blood cells that assume an abnormal, rigid, sickle shape.",Diagnosis,N/A,,,MCL/CIEL: 117703,,,,,,,,,,
a893436e-1350-11df-a1f1-0026b9348838,,"DIABETES MELLITUS","A variable disorder of carbohydrate metabolism caused by a combination of hereditary and environmental factors and usually characterized by inadequate secretion or utilization of insulin, by excessive urine production, by excessive amounts of sugar in the blood and urine, and by thirst, hunger, and loss of weight.",Diagnosis,N/A,,,local: 175;MCL/CIEL: 119481,,,,,,,,,,
a877ca58-1350-11df-a1f1-0026b9348838,,"ASTHMA","A chronic respiratory disease, arising from allergies or inflammation, that is characterized by sudden recurring attacks of labored breathing, chest constriction, and coughing.",Diagnosis,N/A,,,,,,,,,,,,,
a890b810-1350-11df-a1f1-0026b9348838,,"MENTAL DISORDERS","Unspecified disorders of cognition (thinking ability) and/or emotions.  Any of various conditions characterized by impairment of an individual's normal cognitive, emotional, or behavioral functioning, and caused by social, psychological, biochemical, genetic, or other factors, such as infection or head trauma.",ConvSet,N/A,,a8a68e7e-1350-11df-a1f1-0026b9348838;a8955d7a-1350-11df-a1f1-0026b9348838;a8935fde-1350-11df-a1f1-0026b9348838;a89369fc-1350-11df-a1f1-0026b9348838;a89546f0-1350-11df-a1f1-0026b9348838;a8988f4a-1350-11df-a1f1-0026b9348838,local: 77;MCL/CIEL: 77,,,,,,,,,,
acdceb9b-4b84-4e9c-bba4-eaf486b3b4b5,,"CANCER","Cancer is the uncontrolled growth of abnormal cells in the body. ",Diagnosis,N/A,,,,,,,,,,,,,
a8933270-1350-11df-a1f1-0026b9348838,,"EPILEPSY","Any of various neurological disorders characterized by sudden recurring attacks of motor, sensory, or psychic malfunction with or without loss of consciousness or convulsive seizures.",Diagnosis,N/A,,,,,,,,,,,,,
a8936bb4-1350-11df-a1f1-0026b9348838,,"RHEUMATIC HEART DISEASE","Chronic degenerative changes in the heart due to rheumatic fever.",Diagnosis,N/A,,,,,,,,,,,,,
a8983f22-1350-11df-a1f1-0026b9348838,,"HUMAN IMMUNODEFICIENCY VIRUS","The virus that causes the acquired immune deficiency syndrome (AIDS).",Diagnosis,N/A,,,,,,,,,,,,,
b2343ae7-e435-4bc7-9615-74322d5201e4,,"PATIENT REPORTED PAST PROBLEM ADDED","List of past problems reported by patient.",Question,Coded,7ccac7e4-f399-48b9-b2c7-944b98ec53b1;a8983f22-1350-11df-a1f1-0026b9348838;a893436e-1350-11df-a1f1-0026b9348838;a8935f0c-1350-11df-a1f1-0026b9348838;a890a96a-1350-11df-a1f1-0026b9348838;a890b126-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;a877ca58-1350-11df-a1f1-0026b9348838;a8934292-1350-11df-a1f1-0026b9348838;acdceb9b-4b84-4e9c-bba4-eaf486b3b4b5;a8933270-1350-11df-a1f1-0026b9348838;a890b810-1350-11df-a1f1-0026b9348838;a8936bb4-1350-11df-a1f1-0026b9348838;a8986880-1350-11df-a1f1-0026b9348838;a8908ed0-1350-11df-a1f1-0026b9348838;a8a058ce-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
a89e831e-1350-11df-a1f1-0026b9348838,,"TAKEN HIV MEDICINE IN THE PAST","Question on Adherence Questionnaire: "Have you ever taken HIV medicines in the past?"",Question,Boolean,,,MCL/CIEL: 160533;local: 1633,,,,,,,,,,
81608e3b-fece-4136-8def-b822b54de197,,"DATE MEDICALLY ELIGIBLE FOR ANTIRETROVIRAL THERAPY","Date patient became medically eligible for ARV's.",Finding,Date,,,MCL/CIEL: 162227,,,,,,,,,,
a8a0be2c-1350-11df-a1f1-0026b9348838,,"CLINICAL DISEASE","A disease with clinical signs and symptoms that are recognizable.",Misc,N/A,,,MCL/CIEL: 164426;local: 2006,,,,,,,,,,
1ea9d6ba-2084-4bc0-97a6-46fe677d40e5,,"PATIENT REPORTED WHO STAGE PRIOR TO ENROLLMENT AT AMPATH, ADULT","Patient's reported WHO stage prior to received care at ampath, for adult patients.",Question,Coded,a89b2606-1350-11df-a1f1-0026b9348838;a89b26d8-1350-11df-a1f1-0026b9348838;a89b27be-1350-11df-a1f1-0026b9348838;a89b289a-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
a8970a26-1350-11df-a1f1-0026b9348838,,"CD4%, BY FACS","Flow cytometry scanning analysis of T-cell population, helper cell subset (CD4 positive) percent of total lymphocytes.  Percentage of T-helper lymphocytes.",Test,Numeric,,,local: 730;MCL/CIEL: 730,,,,,,,,,,
a89fbedc-1350-11df-a1f1-0026b9348838,,"PREVENTION OF MOTHER-TO-CHILD TRANSMISSION OF HIV","The Prevention of Mother-to-Child Transmission of HIV Program.",Misc,N/A,,,MCL/CIEL: 160538;local: 1776,,,,,,,,,,
a8909060-1350-11df-a1f1-0026b9348838,,"HEPATITIS","Liver infection with an unknown organism or unspecified non-infectious liver inflammation.",Diagnosis,N/A,,,MCL/CIEL: 116986;local: 29,,,,,,,,,,
6b8010c1-ade5-4243-80c6-2a3af88b2c5c,,"CONCORDANT COUPLE POSITIVE","A MAN AND A WOMAN IN A SEXUAL RELATIONSHIP AND BOTH ARE HIV POSITIVE.",Misc,N/A,,,,,,,,,,,,,
a8af49d8-1350-11df-a1f1-0026b9348838,,"DISCORDANT COUPLE","Question on encounter form: "Discordant couple?"",Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838;a899b50a-1350-11df-a1f1-0026b9348838;a89ad3a4-1350-11df-a1f1-0026b9348838;6b8010c1-ade5-4243-80c6-2a3af88b2c5c;42b31606-bf73-46fc-9639-1479d27c067b,,local: 6096;MCL/CIEL: 6096,,,,,,,,,,
a89b2606-1350-11df-a1f1-0026b9348838,,"WHO STAGE 1 ADULT","Convenience set.",ConvSet,N/A,,a8a783d8-1350-11df-a1f1-0026b9348838;a8a784b4-1350-11df-a1f1-0026b9348838,MCL/CIEL: 1204;local: 1204,,,,,,,,,,
a89b26d8-1350-11df-a1f1-0026b9348838,,"WHO STAGE 2 ADULT","Convenience set.",ConvSet,N/A,,a8a81c26-1350-11df-a1f1-0026b9348838;a8a81d2a-1350-11df-a1f1-0026b9348838;a8a4d05c-1350-11df-a1f1-0026b9348838;a8a81ee2-1350-11df-a1f1-0026b9348838;a89cea72-1350-11df-a1f1-0026b9348838;a8a19ce8-1350-11df-a1f1-0026b9348838;a89b6922-1350-11df-a1f1-0026b9348838;a8a19db0-1350-11df-a1f1-0026b9348838;a8a19e6e-1350-11df-a1f1-0026b9348838,MCL/CIEL: 1205;local: 1205,,,,,,,,,,
a89b27be-1350-11df-a1f1-0026b9348838,,"WHO STAGE 3 ADULT","Convenience set.",ConvSet,N/A,,a8a8209a-1350-11df-a1f1-0026b9348838;a8a4df98-1350-11df-a1f1-0026b9348838;a8a50c0c-1350-11df-a1f1-0026b9348838;a8a59438-1350-11df-a1f1-0026b9348838;a8a823ec-1350-11df-a1f1-0026b9348838;a8a824c8-1350-11df-a1f1-0026b9348838;a8a8231a-1350-11df-a1f1-0026b9348838;a8a1a58a-1350-11df-a1f1-0026b9348838;a8a1a670-1350-11df-a1f1-0026b9348838;a8a1a800-1350-11df-a1f1-0026b9348838;a8a1a72e-1350-11df-a1f1-0026b9348838;a8a1a8c8-1350-11df-a1f1-0026b9348838;a8a1a990-1350-11df-a1f1-0026b9348838;a8a1aa58-1350-11df-a1f1-0026b9348838;a8a1ab20-1350-11df-a1f1-0026b9348838;a8a1abde-1350-11df-a1f1-0026b9348838;a8a1aca6-1350-11df-a1f1-0026b9348838;a8a1ad6e-1350-11df-a1f1-0026b9348838;a8a1ae2c-1350-11df-a1f1-0026b9348838;a8a1aef4-1350-11df-a1f1-0026b9348838;a8a1afb2-1350-11df-a1f1-0026b9348838;a8a1b07a-1350-11df-a1f1-0026b9348838;a8a1b142-1350-11df-a1f1-0026b9348838;a8a1b200-1350-11df-a1f1-0026b9348838;a8a1b2c8-1350-11df-a1f1-0026b9348838,MCL/CIEL: 1206;local: 1206,,,,,,,,,,
a89b289a-1350-11df-a1f1-0026b9348838,,"WHO STAGE 4 ADULT","Convenience set.",ConvSet,N/A,,a8a829c8-1350-11df-a1f1-0026b9348838;a8a8259a-1350-11df-a1f1-0026b9348838;a8a59780-1350-11df-a1f1-0026b9348838;a8a5985c-1350-11df-a1f1-0026b9348838;a8a59938-1350-11df-a1f1-0026b9348838;a8a82e00-1350-11df-a1f1-0026b9348838;a8a59e56-1350-11df-a1f1-0026b9348838;a8a828f6-1350-11df-a1f1-0026b9348838;a8a5a00e-1350-11df-a1f1-0026b9348838;a8a83166-1350-11df-a1f1-0026b9348838;a8957184-1350-11df-a1f1-0026b9348838;a8a59f32-1350-11df-a1f1-0026b9348838;a8983d88-1350-11df-a1f1-0026b9348838;a8a5a298-1350-11df-a1f1-0026b9348838;a8980034-1350-11df-a1f1-0026b9348838;a898d540-1350-11df-a1f1-0026b9348838;a8a1b390-1350-11df-a1f1-0026b9348838;a8a1b44e-1350-11df-a1f1-0026b9348838;a8a1b516-1350-11df-a1f1-0026b9348838;a8a1b5d4-1350-11df-a1f1-0026b9348838;a8a1b692-1350-11df-a1f1-0026b9348838;a8a1b75a-1350-11df-a1f1-0026b9348838;a8a1b822-1350-11df-a1f1-0026b9348838;a8a1b8ea-1350-11df-a1f1-0026b9348838;a8a1b9b2-1350-11df-a1f1-0026b9348838;a8a1ba7a-1350-11df-a1f1-0026b9348838;a8a1bb38-1350-11df-a1f1-0026b9348838;a8a1bc00-1350-11df-a1f1-0026b9348838;a8a1bcc8-1350-11df-a1f1-0026b9348838;a8a1bd90-1350-11df-a1f1-0026b9348838;a8a1be4e-1350-11df-a1f1-0026b9348838;a8a1bf0c-1350-11df-a1f1-0026b9348838;a8a1bfd4-1350-11df-a1f1-0026b9348838;a8a1c092-1350-11df-a1f1-0026b9348838;a8a1c164-1350-11df-a1f1-0026b9348838;a8a1c22c-1350-11df-a1f1-0026b9348838;a8a1c2ea-1350-11df-a1f1-0026b9348838;a8a1c3b2-1350-11df-a1f1-0026b9348838;a8a1c47a-1350-11df-a1f1-0026b9348838;a8a1c538-1350-11df-a1f1-0026b9348838;a8a1c600-1350-11df-a1f1-0026b9348838;a8a1c6d2-1350-11df-a1f1-0026b9348838;a8a1c79a-1350-11df-a1f1-0026b9348838;a8a1c858-1350-11df-a1f1-0026b9348838;a8a1c90c-1350-11df-a1f1-0026b9348838;a8a1c9ca-1350-11df-a1f1-0026b9348838;a8a1ca7e-1350-11df-a1f1-0026b9348838;a8a1cb3c-1350-11df-a1f1-0026b9348838;a8a1cbf0-1350-11df-a1f1-0026b9348838;a8a1ccae-1350-11df-a1f1-0026b9348838;a8a1cd62-1350-11df-a1f1-0026b9348838;a8a1ce16-1350-11df-a1f1-0026b9348838;a8a1ceca-1350-11df-a1f1-0026b9348838;a8a1d672-1350-11df-a1f1-0026b9348838;a8a1d730-1350-11df-a1f1-0026b9348838;a8a1d7e4-1350-11df-a1f1-0026b9348838;a8a1d898-1350-11df-a1f1-0026b9348838;a8a1d94c-1350-11df-a1f1-0026b9348838,MCL/CIEL: 1207;local: 1207,,,,,,,,,,
8421d746-ca30-4d17-a629-b12f9eff21d1,,"HIV DNA POLYMERASE CHAIN REACTION","Test which is used to detect genetic information inserted into the DNA of human cells by HIV",Test,Coded,a89c3a82-1350-11df-a1f1-0026b9348838;a89c3b4a-1350-11df-a1f1-0026b9348838;a89c3c08-1350-11df-a1f1-0026b9348838;a89c3cd0-1350-11df-a1f1-0026b9348838;a89c3d8e-1350-11df-a1f1-0026b9348838,,MCL/CIEL: 844,,,,,,,,,,
87c0a7b8-9878-459e-b0f5-e0358f4811d4,,"REASON ELIGIBLE FOR ANTIRETROVIRAL THERAPY","Question on encounter form. Reason patient became eligible for antiretroviral therapy.",Question,Coded,a8a0be2c-1350-11df-a1f1-0026b9348838;1ea9d6ba-2084-4bc0-97a6-46fe677d40e5;a8970a26-1350-11df-a1f1-0026b9348838;a8a8bb18-1350-11df-a1f1-0026b9348838;a8af49d8-1350-11df-a1f1-0026b9348838;a89fbedc-1350-11df-a1f1-0026b9348838;a8909060-1350-11df-a1f1-0026b9348838;a898d478-1350-11df-a1f1-0026b9348838;a89b2606-1350-11df-a1f1-0026b9348838;a89b26d8-1350-11df-a1f1-0026b9348838;a89b27be-1350-11df-a1f1-0026b9348838;a89b289a-1350-11df-a1f1-0026b9348838;a8a19c20-1350-11df-a1f1-0026b9348838;8421d746-ca30-4d17-a629-b12f9eff21d1;ea5dea74-24f3-45d9-9952-a3cd378ab90e;4c72f311-170b-4ed6-9ffd-6a44c46f624b,,MCL/CIEL: 162225,,,,,,,,,,
a89d200a-1350-11df-a1f1-0026b9348838,,"ANTIRETROVIRAL DRUG TREATMENT START DATE","Date in which antiretroviral drug treatment was started",Question,Date,,,local: 1499;MCL/CIEL: 159599,,,,,,,,,,
a67ffb12-761b-48cb-a670-ce0bc0a50d60,,"ANTIRETROVIRAL DRUG TREATMENT DATE OF LAST USE","Date in which antiretroviral drug treatment was last used.",Question,Date,,,,,,,,,,,,,
a89ec270-1350-11df-a1f1-0026b9348838,,"ANTIRETROVIRAL DRUG TREATMENT STOP DATE","Date in which antiretroviral drug treatment was stopped.",Question,Date,,,MCL/CIEL: 160739,,,,,,,,,,
a89adc46-1350-11df-a1f1-0026b9348838,,"TREATMENT","Administration or application of remedies to a patient or for a disease or an injury; medicinal or surgical management; therapy.",Misc,N/A,,,local: 1185;MCL/CIEL: 1185,,,,,,,,,,
a8a19c20-1350-11df-a1f1-0026b9348838,,"POST EXPOSURE PROPHYLAXIS","Post-exposure prophylaxis (PEP) is any prophylactic treatment started immediately after exposure to a pathogen (such as a disease-causing virus), in order to prevent infection by the pathogen and the development of disease.\nIn the case of HIV infection, post-exposure prophylaxis is a course of antiretroviral drugs which is thought to reduce the risk of seroconversion after events with high risk of exposure to HIV",Misc,Boolean,,,MCL/CIEL: 1691;local: 2090,,,,,,,,,,
27ac429d-8a42-476e-b2f6-65bde0b8c935,,"PRE EXPOSURE PROPHYLAXIS","Pre-exposure prophylaxis, or PrEP, is a way for people who do not have HIV but who are at substantial risk of getting it to prevent HIV infection by taking a pill every day.",Misc,N/A,,,,,,,,,,,,,
a89aa60e-1350-11df-a1f1-0026b9348838,,"TOTAL MATERNAL TO CHILD TRANSMISSION PROPHYLAXIS","Describes the use of drugs to prevent the maternal to child transmission of HIV during pregnancy.",Procedure,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,local: 1148;MCL/CIEL: 1148,,,,,,,,,,
a8a31a00-1350-11df-a1f1-0026b9348838,,"PATIENT REPORTED REASON FOR PAST ANTIRETROVIRALS STARTED","Part of the question on encounter form &quot;Reason for use&quot;.",Question,Coded,a89adc46-1350-11df-a1f1-0026b9348838;a8a19c20-1350-11df-a1f1-0026b9348838;a89fbedc-1350-11df-a1f1-0026b9348838;a89aa60e-1350-11df-a1f1-0026b9348838;27ac429d-8a42-476e-b2f6-65bde0b8c935;a8ab1e12-1350-11df-a1f1-0026b9348838;a8908ed0-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
034047bd-3fa1-4b2a-b0f0-2787e9b9f7b3,,"FIRST LINE HIV ANTIRETROVIRAL DRUG TREATMENT","At the beginning of treatment, the combination of drugs that a person is given is called first line therapy. If after a while HIV becomes resistant to this combination, or if side effects are particularly bad, then a change to second line therapy is usually recommended.",Drug,N/A,,,,,,,,,,,,,
8f8a715d-e49a-4b2c-aa3a-83fa9d7a4254,,"SECOND LINE HIV ANTIRETROVIRAL DRUG TREATMENT","Second line therapy will ideally include a minimum of three new drugs, with at least one from a new class, in order to increase the likelihood of treatment success.",Drug,N/A,,,MCL/CIEL: 162188;local: 6694,,,,,,,,,,
a90ebdd2-351f-485a-b850-4938fcca2729,,"THIRD LINE HIV ANTIRETROVIRAL DRUG TREATMENT","Third-line regimens should include new drugs likely to have anti-HIV activity, such as integrase inhibitors and second-generation NNRTIs and PIs.",Drug,N/A,,,,,,,,,,,,,
c89f8473-474d-4165-b7bd-e9f54e908f45,,"PAST HIV ANTIRETROVIRAL DRUG USE TREATMENT","What is the past HIV antiretrovial drug use treatment category?",Question,Coded,a90ebdd2-351f-485a-b850-4938fcca2729;034047bd-3fa1-4b2a-b0f0-2787e9b9f7b3;8f8a715d-e49a-4b2c-aa3a-83fa9d7a4254,,,,,,,,,,,,
a8afcf84-1350-11df-a1f1-0026b9348838,,"EMTRICITABINE AND TENOFOVIR","Combination medication in the category of HIV antriretrovirals made up of emtricitabine and tenofovir.",Drug,N/A,,,local: 6180;MCL/CIEL: 104567,,,,,,,,,,
a8afbf9e-1350-11df-a1f1-0026b9348838,,"ATAZANAVIR","A protease Inhibitor antiretroviral agent that results in the formation of immature, noninfectious viral particles.",Drug,N/A,,,MCL/CIEL: 71647;local: 6159,,,,,,,,,,
