Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class ,	Data type
faf9544f-6e81-4e8d-84c1-777202c11350,,Floaters OD,Floaters,Spots - Threads or cobwebs moving in field of vision - Floaters,Symptom/Finding,Boolean
34d5843b-968b-4439-a4ae-0aa5c0900767,,Flashes of light OD,Flashes of light,Brief flashes or lightning streaks in vision,Symptom/Finding,Boolean
a48f9dd3-293f-4d41-bcde-7aad6c6974cd,,Dry eye sensation OD,Dry eye,Feeling of grittiness or dryness,Symptom/Finding,Boolean
ffbbd0d4-c3a4-4e92-93dc-6a6c70638adb,,Eye pain OD,Eye pain,Pain in or around the eye,Symptom/Finding,Boolean
ffea6526-bae4-4e0c-b35b-962f6cf33eb6,,Watery eyes OD,Watery eyes,Excessive tearing or watering,Symptom/Finding,Boolean
349a2400-c493-451d-8814-bc1a53bc3bdd,,Red eye OD,Red eye,Redness or bloodshot appearance,Symptom/Finding,Boolean
2cf5bebb-22d5-448c-a010-65148fb13610,,Headache symptom,Headache,Headache associated with eye complaint,Symptom/Finding,Boolean
21ba0ef0-5b97-4c0e-9e41-a877bf37fe30,,Other Symptoms,Other symptoms,Other symptoms,Symptom/Finding,Boolean
a2a87870-594a-461f-891e-7bf276391bef,,Eye drops therapy OS,Eye Exam Findings,,Drug,N/A
b44709ce-2a25-4ac4-87d2-b4c611a3c9bf,,Eye drops therapy OD,Eye Exam Findings,,Drug,N/A
a412a599-55f8-463d-a861-596c96bd6c6d,,Wearing glasses,Wearing Rx,,Finding,Coded
e3aecf2f-a093-4258-b6c9-4303cb204d68,,Pterygium-induced astigmatism OS,Red eye,,Finding,Coded
63460134-0822-404a-b8af-aa3f30f324f0,,Pterygium-induced astigmatism OD,Red eye,,Finding,Coded
b04c0c1d-97cb-416e-9954-9d9d100bbf25,,Pterygium length from limbus OS,Ptg sx,,Finding,Numeric
b9b01c4c-0b3b-4ad8-bb23-7c7988c355fb,,Pterygium length from limbus OD,Ptg sx,,Finding,Numeric
74e2b4a4-d60f-4cd3-aee0-25e669d6a27f,,Incipient OS,IOP,,Finding,Coded
d22bcc3d-ccac-4fcb-b37b-0a20c8d8e804,,Incipient OD,IOP,,Finding,Coded
8bdd608a-e790-4893-bf58-66feb3b9dfdc,,Cortical and nuclear OS,Cyl,,Finding,Coded
f3482301-8fc2-40f0-b6e8-553790bdd44b,,Cortical and nuclear OD,Cyl,,Finding,Coded
4b3ab888-b690-4ce6-be54-5fb4d5fab62c,,Posterior subcapsular OS,Presb,,Finding,Coded
bd40e7ca-811c-4f37-85a4-ecb322f840f7,,Posterior subcapsular OD,Presb,,Finding,Coded
ef993ca7-f1ff-4b55-bc79-bfab0097047e,,Posterior polar OS,Post Seg Dx,,Finding,Coded
f6027e0d-b53c-496a-ab5c-b1db2e5fe9c9,,Posterior polar OD,Post Seg Dx,,Finding,Coded
addb7647-d800-4b82-92e3-26f9973b6703,,Brunescent OS,Cat,,Finding,Coded
6beb762a-da59-4652-8782-90a58408a258,,Brunescent OD,Cat,,Finding,Coded
77d7f8e8-aeea-49fe-853a-d46b7be1b682,,Mature OS,Meds,,Finding,Coded
7f60298a-a5c2-4646-a297-fb1b4542df99,,Mature OD,Meds,,Finding,Coded
99e12851-63c9-4ec1-8a3c-f0b2cd4afdf0,,Intumescent OS,IOL Placement,,Finding,Coded
847ee736-0690-4722-a8d9-2adb089d30c9,,Intumescent OD,IOL Placement,,Finding,Coded
5017626d-b2d5-4a86-8d6a-6c74f652f93e,,IOL type OS,Last eye visit,,Finding,Text
e6bb5a8a-fdb1-4a6d-b56d-515203570f65,,IOL type OD,Last eye visit,,Finding,Text
e7f8fed0-bae2-4e71-8eb8-71ebefe4fdef,,IOL power OS,IOL Details,,Finding,Numeric
afa54f2d-3055-46d1-9c0f-5f3a8645df82,,IOL power OD,IOL Details,,Finding,Numeric
dc6fbb83-cd77-4cbb-9f43-8932297b9a9d,,No complication OS,Aphakia,,Finding,Coded
3f1e8d83-586d-4e15-ac38-56447b6288f6,,No complication OD,Aphakia,,Finding,Coded
5b5d7495-1908-4dbc-95b2-c278fd4269b8,,Zonular dehiscence OS,,,Finding,Coded
509b9455-8b8b-4c8e-aa07-d08d8941d791,,Zonular dehiscence OD,,,Finding,Coded
1dfcfc76-6e0b-4f76-bb1b-c93721e0c0f7,,Posterior capsule rupture OS,PC-IOL,,Finding,Coded
d72e82e0-ad6d-4ffb-93e6-879bee362568,,Posterior capsule rupture OD,PC-IOL,,Finding,Coded
0c1f76b5-e0e9-4b61-be58-d17f65895c25,,Vitreous loss OS,Wat Eyes,,Finding,Coded
d049b048-8ab0-42e2-a7c7-89295e05f208,,Vitreous loss OD,Wat Eyes,,Finding,Coded
e57d98a4-4b49-412d-b17a-e378cd64a412,,Retained lens matter OS,SICS,,Finding,Coded
410c48d3-bad0-423a-bb40-4ef3a935b2a7,,Retained lens matter OD,SICS,,Finding,Coded
15145683-3214-418e-9e59-ae340064db1c,,Presbyopia OS,Pseudophakia,,Diagnosis,Coded
ac4e064a-ab2f-4647-8615-c7aa1acd2706,,Presbyopia OD,Pseudophakia,,Diagnosis,Coded
a0ee5732-43fd-484e-894d-a91de6d0d2c9,,Amblyopia OS,AC-IOL,,Diagnosis,Coded
28fbcf3a-fb20-4a45-b2bf-fd7efe618009,,Amblyopia OD,AC-IOL,,Diagnosis,Coded
bea8c097-18d9-4c97-adb9-6bbbd79efcf8,,Strabismus OS,Treatment,,Diagnosis,Coded
f5d7eed6-9c83-4736-ae63-5cc8e57fa784,,Strabismus OD,Treatment,,Diagnosis,Coded
a13c0316-b942-4d19-998c-6ceb1e4cfa95,,Corneal dystrophy OS,Cort + Nuc,,Diagnosis,Coded
1a047af3-3c1a-47b6-a50a-f4471e707c03,,Corneal dystrophy OD,Cort + Nuc,,Diagnosis,Coded
1d28146e-107d-4f16-a876-b1d87bef2131,,Dry eye syndrome OS,ECCE,,Diagnosis,Coded
e020c228-5586-4c12-97d0-f9b1eee8c715,,Dry eye syndrome OD,ECCE,,Diagnosis,Coded
d070535b-2b25-46c8-909a-0aa2341e1b8c,,Pterygium OS,Ptg sx,,Diagnosis,Coded
7fb6acd4-0c74-458d-b78a-35cf86ca3244,,Pterygium OD,Ptg sx,,Diagnosis,Coded
a02e2265-13d6-4a5b-8a7f-e28095bc8e7a,,Cataract OS,Cat sx,,Diagnosis,Coded
25819d84-6d96-4e4d-ad72-afdc730a0dde,,Cataract OD,Cat sx,,Diagnosis,Coded
828cc0f2-42f4-4084-a53b-4020c29d0f5c,,Pseudophakia OS,Ptg,,Diagnosis,Coded
02594842-dcb9-4565-9477-ecebfb32a990,,Pseudophakia OD,Ptg,,Diagnosis,Coded
05409d07-9d08-49e7-8d57-8817e9d3efcf,,Status post uveitis OS,Estra,,Diagnosis,Coded
2ad014fe-a5dc-47cc-8ee5-1da086e6dd60,,Status post uveitis OD,Estra,,Diagnosis,Coded
54778351-6178-4454-ac14-eb3a22b392f1,,Glaucoma OS,HA,,Diagnosis,Coded
5ea24f07-e0c6-4046-9fa4-90f3cdc76482,,Glaucoma OD,HA,,Diagnosis,Coded
d3d68bab-cca8-4c9f-a122-ff21b3c05d0e,,Diabetic retinopathy OS,DES,,Diagnosis,Coded
562de092-1493-476e-9361-d0d4f6d866b7,,Diabetic retinopathy OD,DES,,Diagnosis,Coded
0c0b2adc-5e3a-4cf9-aa56-4ee968e8d55c,,Age-related macular degeneration OS,Amb,,Diagnosis,Coded
55973d14-acaf-40e8-95d9-3a2c1f402835,,Age-related macular degeneration OD,Amb,,Diagnosis,Coded
7e2714b5-13c1-4be8-8e02-f988b500098a,,Anterior segment other findings OS,?,,Diagnosis,Coded
d84a96e0-7329-4910-a43c-97c7d3109130,,Anterior segment other findings OD,?,,Diagnosis,Coded
17e37625-c24a-4beb-a820-53fe9521f154,,Posterior segment other findings OS,PSC,,Diagnosis,Coded
dd69d697-3b41-4139-b2d7-12a92cf12715,,Posterior segment other findings OD,PSC,,Diagnosis,Coded
27e5e48a-d74b-4377-a04a-b15b4ef15371,,Glasses prescription OS,Glauc,,Diagnosis,Coded
bfa799f5-1f26-472d-98ed-4a148b029392,,Glasses prescription OD,Glauc,,Diagnosis,Coded
d4fc5b91-c84c-4db7-857e-bf6f46babfb8,,Cataract surgery OS,Cat Techn,,Procedure,Coded
a110a903-4606-4926-a545-cfae960d85b0,,Cataract surgery OD,Cat Techn,,Procedure,Coded
1ebdd04e-2ca3-4c5f-8ff8-14a56a58beb4,,Pterygium surgery OS,Ptg Astig,,Procedure,Coded
3a665abe-cada-46de-937a-3926718bdbc2,,Pterygium surgery OD,Ptg Astig,,Procedure,Coded
231f45ce-3942-403c-9198-d7f5d7a12c44,,Glasses donated OS,Glasses Rx,,Procedure,Coded
482e023f-2f2b-4c1a-897b-6180c989a9a4,,Glasses donated OD,Glasses Rx,,Procedure,Coded
649bc21a-7256-49ac-9089-7b33d1c8a869,,Phacoemulsification OS,PCR,,Procedure,Coded
0200296c-1191-41da-a545-498a13f4077f,,Phacoemulsification OD,PCR,,Procedure,Coded
09395d65-1f11-40cc-8ed6-16c93f8faa43,,Small-incision cataract surgery OS,Sph,,Procedure,Coded
6dc4e116-07ea-42cd-af2d-0b019d285f41,,Small-incision cataract surgery OD,Sph,,Procedure,Coded
7b7f1ae4-8648-44fc-bc39-5c2daae49321,,Extracapsular cataract extraction OS,Eye drops,,Procedure,Coded
564abbe7-ee53-4af4-97ff-56f51f7c5945,,Extracapsular cataract extraction OD,Eye drops,,Procedure,Coded
63292060-d243-4f22-8cea-2e1037cddd5b,,Posterior chamber IOL OS,PP,,Procedure,Coded
e6e5df76-e14e-4c26-afb7-87188c668739,,Posterior chamber IOL OD,PP,,Procedure,Coded
588c42ce-1e06-4564-917e-8cb92aeecabc,,Anterior chamber IOL OS,Ant Seg Dx,,Procedure,Coded
d05dde65-5c3f-4c2a-84dc-64f73241816d,,Anterior chamber IOL OD,Ant Seg Dx,,Procedure,Coded
da9f0f58-8c71-47f9-a88e-a3da1377f55b,,No IOL implanted OS,OP,,Procedure,Coded
2ceebf6b-52ed-4edd-890a-7e667746ae55,,No IOL implanted OD,OP,,Procedure,Coded
37a6d331-902a-4688-8123-4ca37762c853,,Glasses prescribed,Glasses Rx,,Procedure,Coded
fdde07dd-ec3d-496a-9a56-6e4b2e2c28a2,,Operation,OP,,Procedure,Text
def947fa-6c2f-431d-8f76-5a6743912f9d,,General Ophthalmological Findings,General Ophthalmological Findings,General Ophthalmological Findings,ConvSet,N/A
fbb3db2c-23a1-4657-ae54-3bf352af8345,,Eye examination findings OS,Irrit,,ConvSet,N/A
160061cf-a290-4700-8402-aa462c7c1b34,,Anterior segment diagnoses OS,Ant Seg Dx Otros,,ConvSet,N/A
fe72357e-6a01-4a19-81dc-f834e7634069,,Posterior segment diagnoses OS,Post Seg Dx Otros,,ConvSet,N/A
d60d323d-5b93-4268-ac93-406c5d6cb32f,,Cataract morphology / grade OS,Cat sx,,ConvSet,N/A
05bc0a66-25a3-4af7-a6e4-7800bc601771,,Cataract surgical technique OS,Dist Cor,,ConvSet,N/A
d0ccd548-de07-4295-a5f1-058984a908f3,,IOL placement OS,IOL D,,ConvSet,N/A
776c865a-9a38-4701-a43f-110ac7f9807f,,IOL specifications OS,IOL type,,ConvSet,N/A
a6ce3543-715c-44d9-9dfe-666fcd787103,,Cataract surgery complications OS,Cat Techn,,ConvSet,N/A
acbc93e9-4a90-4e6c-bf01-3f08ae9cee56,,Autorefraction OS,?,,ConvSet,N/A
de5ec392-f21d-4820-be5f-ab311c627381,,Subjective Refraction OS,Treatment,,ConvSet,N/A
925100b4-7b60-4ce9-b9ca-82fe1098a0a4,,Eye examination findings OD,Irrit,,ConvSet,N/A
2dd7f329-209a-4ec1-93d7-0b7329154366,,Anterior segment diagnoses OD,Ant Seg Dx Otros,,ConvSet,N/A
45503f1c-ca8d-4237-9abd-247b10366f92,,Posterior segment diagnoses OD,Post Seg Dx Otros,,ConvSet,N/A
054a54fb-923a-4467-9ec3-b6c0af9fd0bf,,Cataract morphology / grade OD,Cat sx,,ConvSet,N/A
51101b5e-7ca5-4008-8bd1-74d787aeb2ad,,Cataract surgical technique OD,Dist Cor,,ConvSet,N/A
2de47e93-a33c-476a-8b6e-ebe296327870,,IOL placement OD,IOL D,,ConvSet,N/A
59ca4f7a-d838-418b-a598-763a79495f19,,IOL specifications OD,IOL type,,ConvSet,N/A
36413abf-d2e7-44da-9744-98eed02f86d0,,Cataract surgery complications OD,Cat Techn,,ConvSet,N/A
9b3eadba-34c8-42d2-aaa0-51f052ca1125,,Treatment,Treatment,,ConvSet,N/A
b28533a9-4b4b-4ad6-8f79-43eff85db8c9,,Autorefraction OD,?,,ConvSet,N/A
ff262b78-3c41-4bb7-aa78-2cca2fa53b1b,,Subjective Refraction OD,Treatment,,ConvSet,N/A
b1b9b4b2-fab7-4636-97c3-cc32dc580520,,Visual Acuity without correction OS,VL,,Test,Text
f3cd0d08-b0d0-4a17-845e-bb79c1b79ae2,,Visual Acuity without correction OD,VL,,Test,Text
a7901c3b-098c-457b-8325-c5c62dd290c7,,Visual Acuity with correction OS,sc,,Test,Text
5293150c-4fd4-4e27-a78f-26286cd93535,,Visual Acuity with correction OD,sc,,Test,Text
30fe53a8-dbc4-437f-af0c-94feb164e40b,,Intraocular pressure OS,Intumescent,,Test,Numeric
488a17f5-4a39-4306-993c-cf355535ae71,,Intraocular pressure OD,Intumescent,,Test,Numeric
f533bbb2-b4f2-4b5d-9bee-d87b3df43c80,,Spherical refraction OS,Post-uveitis,,Test,Numeric
3b2ed532-94d9-4993-926d-ed16a4506098,,Spherical refraction OD,Post-uveitis,,Test,Numeric
5028e6eb-22d8-4ed5-bc47-e5b12e29bc17,,Cylinder refraction OS,DR,,Test,Numeric
9ef4fe57-ed49-4da7-9e43-68d89e1c1174,,Cylinder refraction OD,DR,,Test,Numeric
fa80379f-1cb1-4c3f-98a9-11fa7a9ec244,,Axis OS,Blur far,,Test,Numeric
10d72fea-d056-4b4e-a2fe-36203bf463d7,,Axis OD,Blur far,,Test,Numeric
e65c0cb4-0da5-414d-8698-d7bc8ecb064d,,Registration,Registration,Registration,Misc,N/A
979638e1-99cc-43a3-9410-8900626f479d,,Refraction Service,Refraction Service,Refraction Service,Misc,N/A
fb917c2d-b770-4f80-82b6-f78f386397a5,,Eye Exam,Eye Exam,Eye Exam,Misc,N/A
d970478a-40f5-48db-b6a8-a36c66a52d45,,Therapy,	Therapy,	Therapy,Misc,N/A
4b64d18b-d8d1-4325-972e-ba7552049366,,Pre-Surgery,Pre-Surgery,Pre-Surgery,Misc,N/A
87593930-fb12-4300-ae4b-21e7abd913d7,,Surgery,Surgery,Surgery,Misc,N/A
b1a6d6b0-0001-4bda-9f6a-000000000000,,Service,Service,Service,ConvSet,N/A
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Yes,Yes,Affirmative answer,Misc,N/A
1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,No,No,Negative answer,Misc,N/A
