uuid,Void/Retire,Fully specified name:en,Description:en,Data class,Data type,Answers,Members,Same as mappings,Absolute high,Critical high,Normal high,Absolue low,Critical low,Normal low,Units,Display precision,Allow decimals
b2343ae7-e435-4bc7-9615-74322d5201e4,,"PATIENT REPORTED PAST PROBLEM ADDED","List of past problems reported by patient.",Question,Coded,7ccac7e4-f399-48b9-b2c7-944b98ec53b1;a8983f22-1350-11df-a1f1-0026b9348838;a893436e-1350-11df-a1f1-0026b9348838;a8935f0c-1350-11df-a1f1-0026b9348838;a890a96a-1350-11df-a1f1-0026b9348838;a890b126-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;a877ca58-1350-11df-a1f1-0026b9348838;a8934292-1350-11df-a1f1-0026b9348838;acdceb9b-4b84-4e9c-bba4-eaf486b3b4b5;a8933270-1350-11df-a1f1-0026b9348838;a890b810-1350-11df-a1f1-0026b9348838;a8936bb4-1350-11df-a1f1-0026b9348838;a8986880-1350-11df-a1f1-0026b9348838;a8908ed0-1350-11df-a1f1-0026b9348838;a8a058ce-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
a8909844-1350-11df-a1f1-0026b9348838,,"MEASLES VACCINATION","Vaccination against measles (IM).",Drug,N/A,,,,,,,,,,,,,
a897dcb2-1350-11df-a1f1-0026b9348838,,"DIPTHERIA TETANUS AND PERTUSSIS VACCINATION","Vaccination given for diphtheria, tetanus, and acellular pertussis infections",Drug,N/A,,,,,,,,,,,,,
a897dd84-1350-11df-a1f1-0026b9348838,,"HEPATITIS B VACCINATION","Vaccination given for hepatitis B.",Drug,N/A,,,,,,,,,,,,,
a897de60-1350-11df-a1f1-0026b9348838,,"POLIO VACCINATION","Vaccination given for polio.",Drug,N/A,,,MCL/CIEL: 783;local: 783,,,,,,,,,,
a8a70746-1350-11df-a1f1-0026b9348838,,"HEMOPHILUS INFLUENZA B VACCINATION","Vaccine given for HIB.",Drug,N/A,,,MCL/CIEL: 5261;local: 5261,,,,,,,,,,
a8acb5f6-1350-11df-a1f1-0026b9348838,,"YELLOW FEVER VACCINATION","Vaccine given for Yellow Fever.",Drug,N/A,,,local: 5864;MCL/CIEL: 5864,,,,,,,,,,
a89840bc-1350-11df-a1f1-0026b9348838,,"BACILLE CAMILE-GUERIN VACCINATION","Deactivated tuberculous agent as basis for tuberculosis vaccination.",Drug,N/A,,,local: 886;MCL/CIEL: 886,,,,,,,,,,
a899b50a-1350-11df-a1f1-0026b9348838,,"UNKNOWN","Generic answer to a question.",Misc,N/A,,,,,,,,,,,,,
a8908ade-1350-11df-a1f1-0026b9348838,,"HEPATITIS A VACCINATION","Vaccination against hepatitis A (IM).",Drug,N/A,,,local: 22;MCL/CIEL: 22,,,,,,,,,,
a89c1ef8-1350-11df-a1f1-0026b9348838,,"COMPLETED","Generic answer to a question.",Finding,N/A,,,local: 1267;HL7-MedicationDispenseStatus: completed;MCL/CIEL: 1267,,,,,,,,,,
9e630c48-f6a0-48a9-b533-73909dfc5dfb,,"PNEUMOVAX","PNEUMOVAX* 23 (Pneumococcal Vaccine Polyvalent) is a sterile, liquid vaccine for intramuscular or subcutaneous injection. It consists of a mixture of highly purified capsular polysaccharides from the 23 most prevalent or invasive pneumococcal types of Streptococcus pneumoniae, including the six serotypes that most frequently cause invasive drug-resistant pneumococcal infections.",Drug,N/A,,,MCL/CIEL: 1423,,,,,,,,,,
22b92c90-026c-469c-9e63-786ecc1cd2fc,,"ROTAVIRUS VACCINE","A rotavirus vaccine protects children from rotaviruses, which are the leading cause of severe diarrhea among infants and young children.",Drug,N/A,,,MCL/CIEL: 83533,,,,,,,,,,
a89ad3a4-1350-11df-a1f1-0026b9348838,,"NOT APPLICABLE","Generic response to a question.  The question doesn't directly apply to the person.",Misc,N/A,,,local: 1175;MCL/CIEL: 1175,,,,,,,,,,
96ecae74-0704-475e-ade3-17cd6b080926,,"PENTAVALENT VACCINE","The Pentavalent is a five-in-one vaccine that combines 5 antigens, namely: Dyptheria; Pertussis; Tetanus; Hepatitis B (HB) and Haemophilus influenzae type b (Hib).",Drug,N/A,,,local: 6654;MCL/CIEL: 1685,,,,,,,,,,
a8a48430-1350-11df-a1f1-0026b9348838,,"VITAMIN A DROPLET, IMMUNIZATION","As part of the immunization for the children under age of five years old, Vitamin A is given in 1) 6 to 11 months, 2) 12 to 17 months, 3) 18 to 23 months, 4) 24 to 29 months, 5) 30 to 35 months, 6) 36 to 41 months, 7) 42 to 47 months, 8) 48 to 53 months, 9) 54 to 60 months, and 10) 60+ months of age.",Drug,N/A,,,,,,,,,,,,,
f60456b4-2797-4f98-8fb5-41830f205427,,"PNEUMOCOCCAL CONJUGATE VACCINE 10","Pneumococcal conjugate vaccine (PCV) is a vaccine used to protect infants and young children against disease caused by the bacterium Streptococcus pneumoniae (pneumococcus). It contains ten serotypes of pneumococcus (1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F, and 23F).  It is given at 6 weeks, 10 weeks and 14 weeks of age.",Drug,N/A,,,MCL/CIEL: 162342,,,,,,,,,,
a899ea48-1350-11df-a1f1-0026b9348838,,"NOT DONE","General descriptive answer.",Misc,N/A,,,local: 1118;MCL/CIEL: 1118,,,,,,,,,,
a899e0ac-1350-11df-a1f1-0026b9348838,,"NONE","Generic descriptive answer.",Misc,N/A,,,MCL/CIEL: 1107;local: 1107,,,,,,,,,,
79c722a0-17cf-4aca-bdec-fee0810bc5ba,,"POLIO VACCINATION, INACTIVATED","Vaccination given for polio through an injection by a trained health worker.",Drug,N/A,,,MCL/CIEL: 1422,,,,,,,,,,
a89b20ca-1350-11df-a1f1-0026b9348838,,"PREVIOUS IMMUNIZATIONS ADMINISTERED","Question on encounter form: "Has the patient received any of the following immunizations?"",Question,Coded,a8909844-1350-11df-a1f1-0026b9348838;a897dcb2-1350-11df-a1f1-0026b9348838;a897dd84-1350-11df-a1f1-0026b9348838;a897de60-1350-11df-a1f1-0026b9348838;a8a70746-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;a8acb5f6-1350-11df-a1f1-0026b9348838;a89840bc-1350-11df-a1f1-0026b9348838;a899b50a-1350-11df-a1f1-0026b9348838;a8908ade-1350-11df-a1f1-0026b9348838;a89c1ef8-1350-11df-a1f1-0026b9348838;9e630c48-f6a0-48a9-b533-73909dfc5dfb;22b92c90-026c-469c-9e63-786ecc1cd2fc;a89ad3a4-1350-11df-a1f1-0026b9348838;96ecae74-0704-475e-ade3-17cd6b080926;a8a48430-1350-11df-a1f1-0026b9348838;f60456b4-2797-4f98-8fb5-41830f205427;a899ea48-1350-11df-a1f1-0026b9348838;a899e0ac-1350-11df-a1f1-0026b9348838;79c722a0-17cf-4aca-bdec-fee0810bc5ba,,local: 1198;MCL/CIEL: 1198,,,,,,,,,,
a89c2a24-1350-11df-a1f1-0026b9348838,,"PREVIOUS IMMUNIZATIONS NOT ADMINISTERED","Question on encounter form: "Has the patient received any of the following immunizations?"",Question,Coded,a8909844-1350-11df-a1f1-0026b9348838;a897dcb2-1350-11df-a1f1-0026b9348838;a897dd84-1350-11df-a1f1-0026b9348838;a897de60-1350-11df-a1f1-0026b9348838;a8a70746-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;a8acb5f6-1350-11df-a1f1-0026b9348838;a89840bc-1350-11df-a1f1-0026b9348838;f60456b4-2797-4f98-8fb5-41830f205427;79c722a0-17cf-4aca-bdec-fee0810bc5ba,,MCL/CIEL: 1280;local: 1280,,,,,,,,,,
a89b1efe-1350-11df-a1f1-0026b9348838,,"NUMBER OF DOSES RECEIVED BEFORE ENROLLMENT","Generic question modifier.  If a particular medicine was taken, this concept allows you to store the number of doses that the patient received of this drug prior to clinic enrollment.",Question,Numeric,,,local: 1196;MCL/CIEL: 1196,,,,,,,# doses,,False,
bb1e6b95-0d35-4065-80cc-d774d1c9b964,,"IMMUNIZATION SEQUENCE NUMBER","Sequence number for a particular vaccine.",Finding,Numeric,,,MCL/CIEL: 1418,,,,,,,,,False,
ca70a01e-264d-4527-84d3-340a19d75bb1,,"MENINGOCOCCAL VACCINE","Meningococcal vaccine refers to any of the vaccines used to prevent infection by Neisseria meningitidis. Different versions are effective against some or all of the following types of meningococcus: A, C, W-135, and Y. This is recommended for children 2 months through 10 years old who are at increased risk for meningococcal disease.",Drug,N/A,,,MCL/CIEL: 159900,,,,,,,,,,
401ba849-5f15-4aa1-a174-05c7ccca46aa,,"TETANUS TOXOID","Inactive vaccine used to prevent tetanus.",Drug,N/A,,,MCL/CIEL: 84879,,,,,,,,,,
a8b0f4a4-1350-11df-a1f1-0026b9348838,,"MALARIA PROPHYLAXIS","Malaria prophylaxis is the prevention of malaria.",MedSet,N/A,,,MCL/CIEL: 159610,,,,,,,,,,
c36c2ec2-3f71-40ea-b568-7b19dc9dde1e,,"IRON FOLATE","Combined Iron- folate supplements used by pregnant and lactating mothers.",Drug,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838;a899b50a-1350-11df-a1f1-0026b9348838,,MCL/CIEL: 104677,,,,,,,,,,
a8938504-1350-11df-a1f1-0026b9348838,,"MEBENDAZOLE","A broad-spectrum anthelmintic agent C16H13N3O3.",Drug,N/A,,,local: 244;MCL/CIEL: 79413,,,,,,,,,,
a8a4880e-1350-11df-a1f1-0026b9348838,,"INSECTICIDE-TREATED BEDNET","Insecticide-treated bednet.",Misc,N/A,,,local: 2354;MCL/CIEL: 160428,,,,,,,,,,
b3a3a3da-48bb-48f9-b9d5-154f08c4fad3,,"ROTAVIRUS VACCINE, LIVE","The vaccine contains live human rotavirus that has been weakened (attenuated), so that it stimulates the immune system but does not cause disease in healthy people.",Drug,N/A,,,MCL/CIEL: 83531,,,,,,,,,,
8ce0c11b-26d8-4341-b381-5ec8ce1c4719,,"MEASLES RUBELLA VACCINE","Combination of measles and rubella (German measles) vaccine",Drug,N/A,,,MCL/CIEL: 162586,,,,,,,,,,
4ac43c27-437f-4f12-b679-0cc420f804f1,,"ASTRAZENECA COVID-19 VACCINE","AstraZeneca vaccine is a vaccine that aims to protect against COVID-19.",Drug,N/A,,,MCL/CIEL: 166156,,,,,,,,,,
c6c8352f-b95e-4d2a-a151-7a4197ecba61,,"JANSSEN COVID-19 VACCINE","Vaccine that aims to protect against COVID-19.",Drug,N/A,,,MCL/CIEL: 166355,,,,,,,,,,
00ea0d90-4540-416b-901c-7ec4139c0aa5,,"MODERNA COVID-19 VACCINE","A vaccine that aims to protect against COVID-19.",Drug,N/A,,,MCL/CIEL: 166154,,,,,,,,,,
9f50d1ee-e1f3-4d4a-b931-90f665057aa3,,"PFIZER-BIONTECH COVID-19 VACCINE","Pfizer vaccine is a vaccine that aims to protect against COVID-19.",Drug,N/A,,,MCL/CIEL: 166155,,,,,,,,,,
bd08a021-832a-4ce5-8d23-01594ce5bbd5,,"SINOPHARM-WUHAN COVID-19 VACCINE","It is a vaccine for the prevention of covid-19",Drug,N/A,,,MCL/CIEL: 166379,,,,,,,,,,
a898d0a4-1350-11df-a1f1-0026b9348838,,"IMMUNIZATIONS ORDERED","Information gathered from the pediatric return visit form.  Captures basic information about immunizations administered during a visit.",Test,Coded,a89840bc-1350-11df-a1f1-0026b9348838;a897de60-1350-11df-a1f1-0026b9348838;a897dcb2-1350-11df-a1f1-0026b9348838;a899e0ac-1350-11df-a1f1-0026b9348838;a897dd84-1350-11df-a1f1-0026b9348838;a8a70746-1350-11df-a1f1-0026b9348838;a8909844-1350-11df-a1f1-0026b9348838;a8908ade-1350-11df-a1f1-0026b9348838;a8acb5f6-1350-11df-a1f1-0026b9348838;a8a48430-1350-11df-a1f1-0026b9348838;22b92c90-026c-469c-9e63-786ecc1cd2fc;9e630c48-f6a0-48a9-b533-73909dfc5dfb;a8aaf3e2-1350-11df-a1f1-0026b9348838;96ecae74-0704-475e-ade3-17cd6b080926;f60456b4-2797-4f98-8fb5-41830f205427;a89c1ef8-1350-11df-a1f1-0026b9348838;ca70a01e-264d-4527-84d3-340a19d75bb1;79c722a0-17cf-4aca-bdec-fee0810bc5ba;401ba849-5f15-4aa1-a174-05c7ccca46aa;a8b0f4a4-1350-11df-a1f1-0026b9348838;c36c2ec2-3f71-40ea-b568-7b19dc9dde1e;a8938504-1350-11df-a1f1-0026b9348838;a8a4880e-1350-11df-a1f1-0026b9348838;b3a3a3da-48bb-48f9-b9d5-154f08c4fad3;8ce0c11b-26d8-4341-b381-5ec8ce1c4719;4ac43c27-437f-4f12-b679-0cc420f804f1;c6c8352f-b95e-4d2a-a151-7a4197ecba61;00ea0d90-4540-416b-901c-7ec4139c0aa5;9f50d1ee-e1f3-4d4a-b931-90f665057aa3;bd08a021-832a-4ce5-8d23-01594ce5bbd5;a899b50a-1350-11df-a1f1-0026b9348838,,MCL/CIEL: 984,,,,,,,,,,
0a35a6e4-eb93-448e-a3b0-cae66a57beb4,,"IMMUNIZATION DATE","The full date of a vaccination",Question,Date,,,MCL/CIEL: 1410,,,,,,,,,,
a8a37144-1350-11df-a1f1-0026b9348838,,"IMMUNIZATIONS UP TO DATE, CODED","This is a coded concept for question on encounter form: "Are immunizations on schedule?"",Question,Coded,a899b42e-1350-11df-a1f1-0026b9348838;a899b35c-1350-11df-a1f1-0026b9348838;a899b50a-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
e8e60720-6737-4775-bb03-81ef8254aabb,,"COVID-19 VACCINE SERIES NOT COMPLETED","Covid-19 immunization not completed",Finding,N/A,,,MCL/CIEL: 166192,,,,,,,,,,
a8a45988-1350-11df-a1f1-0026b9348838,,"IMMUNIZATIONS COMPLETE","A question asked whether the patient has received all normal vaccinations",Question,Coded,a899b42e-1350-11df-a1f1-0026b9348838;a899b35c-1350-11df-a1f1-0026b9348838;a899b50a-1350-11df-a1f1-0026b9348838;a8a37144-1350-11df-a1f1-0026b9348838;e8e60720-6737-4775-bb03-81ef8254aabb,,MCL/CIEL: 164134;NHDD: 20925,,,,,,,,,,
a89e3bf2-1350-11df-a1f1-0026b9348838,,"PATIENT DEFAULTED","Patient's failure to perform a task.",Misc,N/A,,,local: 1595;MCL/CIEL: 160031,,,,,,,,,,
5254f1ad-7929-4486-8d4a-b1ac8c8e0ed2,,"IMMUNIZATION STATUS","Question to collect status of the immunization.",Question,Coded,a8a45988-1350-11df-a1f1-0026b9348838;a8a37144-1350-11df-a1f1-0026b9348838;a89e3bf2-1350-11df-a1f1-0026b9348838,,MCL/CIEL: 164464,,,,,,,,,,
a89c9658-1350-11df-a1f1-0026b9348838,,"IMMUNIZATION HISTORY","Complex question that assesses all immunizations that a patient might have received prior to care by AMPATH.",Question,N/A,,a89b20ca-1350-11df-a1f1-0026b9348838;a89c2a24-1350-11df-a1f1-0026b9348838;a89b1efe-1350-11df-a1f1-0026b9348838;bb1e6b95-0d35-4065-80cc-d774d1c9b964;a8a06fc6-1350-11df-a1f1-0026b9348838;a898d0a4-1350-11df-a1f1-0026b9348838;0a35a6e4-eb93-448e-a3b0-cae66a57beb4;5254f1ad-7929-4486-8d4a-b1ac8c8e0ed2;a8a45988-1350-11df-a1f1-0026b9348838,MCL/CIEL: 1421;local: 1390,,,,,,,,,,
507d7df8-2da6-4ace-93b8-4271620f27c5,,"PRESENCE OF IMMUNIZATION CARD","Is the immunization card present?",Question,Coded,a89ad3a4-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838;a899b35c-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
a89ef54c-1350-11df-a1f1-0026b9348838,,"NUMBER OF DOSES","General question:  Number of doses for a particular medication.",Question,Numeric,,,local: 1737,30.0,,,0.0,,,doses,,False,
a8a08588-1350-11df-a1f1-0026b9348838,,"IMMUNIZATIONS ORDERED, DETAILED","Complex question that assesses all immunizations that a patient receives at this visit.",Question,N/A,,a898d0a4-1350-11df-a1f1-0026b9348838;a89ef54c-1350-11df-a1f1-0026b9348838;bb1e6b95-0d35-4065-80cc-d774d1c9b964;0a35a6e4-eb93-448e-a3b0-cae66a57beb4;5254f1ad-7929-4486-8d4a-b1ac8c8e0ed2;a8a06fc6-1350-11df-a1f1-0026b9348838,MCL/CIEL: 1441;local: 1944,,,,,,,,,,
a890a654-1350-11df-a1f1-0026b9348838,,"TETANUS BOOSTER","Booster vaccination against tetanus.",Drug,Text,,,local: 54;MCL/CIEL: 54,,,,,,,,,,
a6678857-3e09-42ab-ad38-9680335b71cd,,"COVID-19 VACCINATION","A COVID‑19 vaccine is a vaccine intended to provide acquired immunity against severe acute respiratory syndrome coronavirus 2, the virus that causes coronavirus disease 2019.",Drug,N/A,,,,,,,,,,,,,
b29b512f-cd46-41ee-a568-bdaafa0bb874,,"ADULT IMMUNIZATIONS ORDERED","Information gathered from the adult visit form. Captures basic information about immunizations administered during a visit.",Procedure,Coded,a897dd84-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;a8a70746-1350-11df-a1f1-0026b9348838;a890a654-1350-11df-a1f1-0026b9348838;a6678857-3e09-42ab-ad38-9680335b71cd,,,,,,,,,,,,
a89e831e-1350-11df-a1f1-0026b9348838,,"TAKEN HIV MEDICINE IN THE PAST","Question on Adherence Questionnaire: "Have you ever taken HIV medicines in the past?"",Question,Boolean,,,MCL/CIEL: 160533;local: 1633,,,,,,,,,,
81608e3b-fece-4136-8def-b822b54de197,,"DATE MEDICALLY ELIGIBLE FOR ANTIRETROVIRAL THERAPY","Date patient became medically eligible for ARV's.",Finding,Date,,,MCL/CIEL: 162227,,,,,,,,,,
a8a0be2c-1350-11df-a1f1-0026b9348838,,"CLINICAL DISEASE","A disease with clinical signs and symptoms that are recognizable.",Misc,N/A,,,MCL/CIEL: 164426;local: 2006,,,,,,,,,,
a8a783d8-1350-11df-a1f1-0026b9348838,,"ASYMPTOMATIC HIV INFECTION","WHO Stage 1 / CDC Category N Conditions - Asymptomatic HIV Infection",Diagnosis,N/A,,,local: 5327;MCL/CIEL: 5327,,,,,,,,,,
a8a784b4-1350-11df-a1f1-0026b9348838,,"HIV STAGING - PERSISTENT GENERALIZED LYMPHADENOPATHY","WHO Stage 1 Conditions - Persistent Generalized Lymphadenopathy (PGL)",Finding,N/A,,,MCL/CIEL: 5328;local: 5328,,,,,,,,,,
a89b2606-1350-11df-a1f1-0026b9348838,,"WHO STAGE 1 ADULT","Convenience set.",ConvSet,N/A,,a8a783d8-1350-11df-a1f1-0026b9348838;a8a784b4-1350-11df-a1f1-0026b9348838,MCL/CIEL: 1204;local: 1204,,,,,,,,,,
a8a81c26-1350-11df-a1f1-0026b9348838,,"HIV STAGING - ADULT HERPES ZOSTER","WHO Stage 2 Conditions - Herpes Zoster (Within Last 5 Years)",Diagnosis,N/A,,,local: 5329;MCL/CIEL: 5329,,,,,,,,,,
a8a81d2a-1350-11df-a1f1-0026b9348838,,"HIV STAGING - MINOR MUCOCUTANEOUS MANIFESTATIONS","WHO Stage 2 Conditions - Minor Mucocutaneous Manifestations",Finding,N/A,,,MCL/CIEL: 5330;local: 5330,,,,,,,,,,
a8a4d05c-1350-11df-a1f1-0026b9348838,,"HIV STAGING - RECURRENT UPPER RESPIRATORY INFECTION","WHO Stage 2 / CDC Category A - Recurrent Or Persistent URIs, Sinusitis, Or Otitis Media",Finding,N/A,,,MCL/CIEL: 5012;local: 5012,,,,,,,,,,
a8a81ee2-1350-11df-a1f1-0026b9348838,,"HIV STAGING - WEIGHT LOSS LESS THAN TEN PERCENT","WHO Stage 2 Conditions - Weight Loss <= 10% of Body Weight",Diagnosis,N/A,,,local: 5332;MCL/CIEL: 5332,,,,,,,,,,
