Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:2007
445ebd06-b013-5afd-a59c-c82c80748ae7,,ACT-RHD:q_describe_the_patient_s_current_condition,Describe the patient's current condition,,,Question,Text,,,
2075f5e4-b8e5-50c1-83d7-81234fff3653,,ACT-RHD:q_how_was_the_patient_contacted,How was the patient contacted?,,,Question,Text,,,
5b409279-ec02-50a9-8d68-9953f526beeb,,ACT-RHD:q_icu_stay,ICU Stay,,,Question,Numeric,,,
a5c71d6d-240c-535e-afa8-371a6c0e3a79,,ACT-RHD:q_indication_for_surgery,Indication for Surgery,,,Question,Coded,Routine/Surveillance; Clinical Change/Findings; Urgent/Emergent; Other (with field to complete),,
38b35726-3ea0-537d-92e8-4768af5e1cd3,,ACT-RHD:q_indication_for_catheterization,Indication for catheterization,,,Question,Coded,Routine/Surveillance; Clinical Change/Findings; Urgent/Emergent; Other (with field to complete),,
72356252-e2f9-54f6-971e-00afb0def731,,ACT-RHD:q_intervention_complete,Intervention Complete,,,Question,Boolean,,,
726b7eaa-3ecf-5c6b-ba21-cd81c58d6a0d,,ACT-RHD:q_is_patient_alive,Is Patient Alive?,,,Question,Boolean,,,
225911b3-f49b-5ec5-8da8-09a4b95b5219,,ACT-RHD:q_is_the_patient_ok,Is the patient OK?,,,Question,Boolean,,,
ffcc9d8f-e27c-53cc-a8dd-013fd51e01fe,,ACT-RHD:q_location,Location,,,Question,Text,,,
b8df8430-b9bb-5bd4-8215-6f92bf7e9419,,ACT-RHD:q_mitral_valve_area,Mitral Valve Area,,,Question,Coded,Sufficient (>1.5mL or 50% of baseline); Insufficient,,
33c77c14-f1fc-5e16-98a5-ca8ac72a1536,,ACT-RHD:q_open_chest_after_surgery,Open Chest After Surgery,,,Question,Boolean,,,
7961d827-0af9-5c92-9818-24e2e886de6f,,ACT-RHD:q_organism_identified_if_known,Organism Identified (if Known),,,Question,Text,,,
a79a6ac1-619a-5c55-9129-bd0e46e05cb8,,ACT-RHD:q_other_major_complications_assiciated_with_surgery,Other Major Complications Assiciated with Surgery,,,Question,Boolean,,,
8b9ccf9e-ab44-56d2-885e-61a626cb6569,,ACT-RHD:q_other_pertinent_medical_information,Other Pertinent Medical Information,,,Question,Text,,,
1c14c3f1-1532-51b0-8680-d761e7f25ad5,,ACT-RHD:q_perfusion_issues,Perfusion Issues,,,Question,Boolean,,,
4c631baa-7585-57c4-a4b2-cc67cb6ce19c,,ACT-RHD:q_post_catheterization_diagnosis,Post-Catheterization Diagnosis,,,Question,Text,,,
9ccd8043-d9be-5b24-8fc4-4890d46e716f,,ACT-RHD:q_post_inflation_la_pressure,Post-Inflation: LA Pressure,,,Question,Text,,,
18060962-d3fe-5d6b-89ef-2d5386c2ad44,,ACT-RHD:q_post_inflation_lv_pressure,Post-Inflation: LV Pressure,,,Question,Text,,,
87002af1-9c93-5dcc-8f9b-fca84d80f6b3,,ACT-RHD:q_pre_catheterization_diagnosis,Pre-Catheterization Diagnosis,,,Question,Text,,,
57d774b1-9060-5615-ad9b-f740d513e410,,ACT-RHD:q_pre_inflation_la_pressure,Pre-Inflation: LA Pressure,,,Question,Text,,,
ada941f5-77f2-56f4-b3c2-82d1d528be04,,ACT-RHD:q_pre_inflation_lv_pressure,Pre-Inflation: LV Pressure,,,Question,Text,,,
6cbb5176-144a-576b-9b3d-c9e9d6bc5f5a,,ACT-RHD:q_procedure_date,Procedure Date,,,Question,Date,,,
1e45a974-f99d-5072-a2bf-28d1f6cf9850,,ACT-RHD:q_procedure_location,Procedure Location,,coded in spec but no answer set resolved -- using Text,Question,Text,,,
3a576b80-744a-59ee-9515-d9fdca06f3d7,,ACT-RHD:q_procedure_type,Procedure Type,,,Question,Coded,Surgery; Catheterization; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
2e290fa3-977b-5fb4-83c1-d8499bedb65e,,ACT-RHD:q_procedure_performed,Procedure performed,,,Question,Coded,Diagnostic cardiac catheterization; Mitral balloon valvuloplasty; Other catheter-based intervention; Mitral valve replacement; Mitral valve repair; Aortic valve replacement; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
c997adcd-e9ab-5705-91bb-1dbea2a3abb8,,ACT-RHD:q_reason_for_surgery,Reason for Surgery,,,Question,Text,,,
0749d05e-6c8a-57e7-84cb-0b04d9e89574,,ACT-RHD:q_required_additional_surgery_for_bleeding,Required Additional Surgery for Bleeding,,,Question,Boolean,,,
7a54d2d6-0d34-5e5d-b8e7-84a3cf7e9dca,,ACT-RHD:q_surgery_outcome,Surgery Outcome,,,Question,Coded,Discharge to home; Transfer to another facility; Death,,
46f4af80-b783-59f4-beb1-81144ccf3084,,ACT-RHD:q_surgery_type_s,Surgery Type(s),,,Question,Coded,Mitral valve replacement; Mitral valve repair; Aortic valve replacement; Aortic valve repair; Other (with field to complete),,
15e033f6-704e-5bde-ac1d-b401294f416c,,ACT-RHD:q_surgical_site_infection,Surgical Site Infection,,,Question,Boolean,,,
891c9214-ad2a-51b9-9007-291406fd2054,,ACT-RHD:q_type_of_intervention,Type of Intervention,,,Question,Coded,Cardiac catheterization; Cardiac surgery,,
26f8371b-ef08-5a2d-ab3d-88d384b142a5,,ACT-RHD:q_ventilation_time,Ventilation Time,,,Question,Numeric,,,
