Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Members,_version:1,_order:3000
bd178aea-27f0-5880-8b08-ea8ba94ee882,,ACT-RHD:set_delivery_and_outcomes_rhd_section,Delivery and outcomes (RHD section),,Questions in the Delivery and outcomes section of the Pregnancy form,ConvSet,N/A,Delivery mode; Location of Delivery; Estimated Gestational Age at Delivery (weeks); Neonatal weight (kg); Maternal Complications Within 30 Days After Pregnancy; Maternal Cause of Death; Neonatal Outcomes 30 Days After Delivery; Neontal Cause of Death,,
570f2fe2-10a4-5a76-bfe7-1b038b63adba,,ACT-RHD:set_echocardiogram_rhd_section,Echocardiogram (RHD section),,Questions in the Echocardiogram section of the Consultation Visit form,ConvSet,N/A,"Summary of Last Echo (DD-Month-YYYY); Echocardiogram performed; Date Updated; Mitral Regurgitation; Mitral stenosis severity; Wilkins Score; Is patient suitable for BAV; If no, why?; Aortic Regurgitation; Aortic Stenosis; Tricuspid Regurgitation; Tricuspid Stenosis; Left Ventricular Ejection Fraction; Left Ventricular Function; Pulmonary hypertension severity; Other Findings on Echocardiogram",,
a0f2b1e0-d49e-50d8-89ee-610228730834,,ACT-RHD:set_electrocardiogram_rhd_section,Electrocardiogram (RHD section),,Questions in the Electrocardiogram section of the Consultation Visit form,ConvSet,N/A,Electrocardigram,,
1179ec8f-364e-54a0-ab1a-e958db6bd371,,ACT-RHD:set_history_and_comorbidities_rhd_section,History and comorbidities (RHD section),,Questions in the History and comorbidities section of the Consultation Visit form,ConvSet,N/A,Chronic Health Conditions; Date Added; Allergies; Reaction (Consultation Visit); RHD Complications,,
b49bf2cf-0b9a-5b4f-8c78-e3f58a7f8104,,ACT-RHD:set_hospital_admission_rhd_section,Hospital admission (RHD section),,Questions in the Hospital admission section of the Hospital Admission form,ConvSet,N/A,Date Admitted; Facility; Reason for Admission; Details (Hospital Admission); To Where?; Date of Discharge,,
e7122fa3-a53c-59ee-ad05-339739bdddcd,,ACT-RHD:set_injection_rhd_section,Injection (RHD section),,Questions in the Injection section of the BPG Delivery form,ConvSet,N/A,"Date of Service; If Injection is Late, Why?",,
7f19f3de-82d9-54d7-a205-5325c606ead1,,ACT-RHD:set_interventional_recommendations_rhd_section,Interventional recommendations (RHD section),,Questions in the Interventional recommendations section of the Interventional Recommendations form,ConvSet,N/A,Date Recommendation Made; Type of Intervention; Cardiac catheterization type; Intervention Complete; Cardiac surgery type,,
701bdf50-fcb4-58c5-ad4b-a01e391bd584,,ACT-RHD:set_oral_adherence_rhd_section,Oral adherence (RHD section),,Questions in the Oral adherence section of the Oral Adherence form,ConvSet,N/A,Weeks in Reporting Period; Adherence Estimage; Adherence Estimate Based On; Other Details (Oral Adherence); Dosing (Oral Adherence); Prescription Duration; Tablets Given/Prescribed,,
db97e1b9-3a16-5327-8682-d72fdbd607c2,,ACT-RHD:set_patient_information_rhd_section,Patient information (RHD section),,Questions in the Patient information section of the Patient Information form,ConvSet,N/A,Category at Diagnosis; Case Detected By; Relocation Area; Date of Death; Details of events leading up to death; Pregnant or Postpartum (60 Days After Delivery) at Time of Death; WhatsApp; Home Address; Tertiary Phone Ownder; Additional information to help locate patient,,
01f4aca2-e29e-58b9-a92a-4d2d987d5fe0,,ACT-RHD:set_plan_and_follow_up_rhd_section,Plan and follow-up (RHD section),,Questions in the Plan and follow-up section of the Consultation Visit form,ConvSet,N/A,SBE Prophylaxis Indicated; Interventional Recommendation(s); Urgency; Next Consultation,,
5fcb9637-f8a6-511c-ba7a-fbe36b7accaa,,ACT-RHD:set_post_procedure_outcome_rhd_section,Post-procedure outcome (RHD section),,"Questions in the Post-procedure outcome section of the Surgical History, Interventions, & Outcomes form",ConvSet,N/A,Surgery Outcome; Date of Hospital Discharge; ICU Stay; Ventilation Time; Perfusion Issues; Surgical Site Infection; Bacterial Sepsis; Organism Identified (if Known); Other Major Complications Assiciated with Surgery,,
3864639b-570f-5028-b795-7bdcd36b577b,,ACT-RHD:set_pregnancy_details_rhd_section,Pregnancy details (RHD section),,Questions in the Pregnancy details section of the Pregnancy form,ConvSet,N/A,Estimated Due Date; Pregnancy Number; Number of Fetuses; Maternal Complications During Pregnancy; Fetal Outcomes,,
785ebdb2-3056-5579-8012-f3e771706ab5,,ACT-RHD:set_procedure_details_rhd_section,Procedure details (RHD section),,"Questions in the Procedure details section of the Surgical History, Interventions, & Outcomes form",ConvSet,N/A,Procedure Date; Procedure Location; Procedure Type,,
3c947d0b-3c38-5f48-9903-46e287e24baf,,ACT-RHD:set_rhd_consultation_update_rhd_section,RHD consultation update (RHD section),,Questions in the RHD consultation update section of the RHD Consultation Update form,ConvSet,N/A,Follow-up Appointments; Reason for RHD Clinic Appointment,,
8267d971-5c6b-5de8-9985-94ddfc05f17a,,ACT-RHD:set_secondary_prophylaxis_rhd_section,Secondary prophylaxis (RHD section),,Questions in the Secondary prophylaxis section of the Consultation Visit form,ConvSet,N/A,"Secondary Antibiotic Prophylaxis; Date Started; Date Stopped; Reason Stopped; If not given SAP, why?; Secondary Antibiotic Prophylaxis Duration; Secondary Antibiotic Prophylaxis Data Entry",,
c945726e-0687-5b84-953b-fa3e1901306b,,ACT-RHD:set_surgery_rhd_section,Surgery (RHD section),,"Questions in the Surgery section of the Surgical History, Interventions, & Outcomes form",ConvSet,N/A,Surgery Type(s); Indication for Surgery; Reason for Surgery; Open Chest After Surgery; Required Additional Surgery for Bleeding; Describe; Other Pertinent Medical Information,,
fe040b79-959c-5d12-9385-6f73ec1f4324,,ACT-RHD:set_visit_details_rhd_section,Visit details (RHD section),,Questions in the Visit details section of the Consultation Visit form,ConvSet,N/A,View Past Forms - # Entries; Date of Review; Place of Review; Provider; Interval History,,
14d7ab0c-15a2-5f8d-ab00-1e3ca5022303,,ACT-RHD:set_vital_signs_rhd_section,Vital signs (RHD section),,Questions in the Vital signs section of the Consultation Visit form,ConvSet,N/A,Height; Weight; Heart Rate; Oxygen Saturation; Blood Pressure; NYHA Classification,,
