Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1003
4aea53d6-88d1-4e4c-8702-a8142366af02,,,Diet Only,របបអាហារតែមួយគត់,Diet Only,របបអាហារតែមួយគត់,,,Misc,N/A,,,,
8c0fc1cc-f430-4201-968b-db0071b01dfd,,,Oral Hypoglycaemics,ឧិសថលេបបញ្ចុះជាតិស្ករ,Oral Hypoglycaemics,ឧិសថលេបបញ្ចុះជាតិស្ករ,,,Misc,N/A,,,,
d99b139e-4d8f-462c-9825-a0cdc0824417,,,Insulin therapy,ការព្យាបាលដោយអាំងស៊ុយលីន,Insulin therapy,ការព្យាបាលដោយអាំងស៊ុយលីន,,,Misc,N/A,,,,
c4c14717-6624-4963-b038-863eb51669a8,,,Oral Hypoglycaemics and Insulin therapy,ការព្យាបាលដោយឧិសថលេបបញ្ចុះជាតិស្ករ និងការព្យាបាលដោយអាំងស៊ុយលីន,Oral Hypoglycaemics and Insulin therapy,ការព្យាបាលដោយឧិសថលេបបញ្ចុះជាតិស្ករ និងការព្យាបាលដោយអាំងស៊ុយលីន,,,Misc,N/A,,,,
35eaca92-c94d-404c-aa06-1d366db4e8b9,,,No treatment,គ្មានការព្យាបាលទេ,No treatment,គ្មានការព្យាបាលទេ,,,Misc,N/A,,,,
00808084-99a8-4ea8-98b4-63cae2a34273,,,Current therapy,ការព្យាបាលបច្ចុប្បន្ន,Current therapy,ការព្យាបាលបច្ចុប្បន្ន,,,Question,Coded,Diet Only;Oral Hypoglycaemics;Insulin therapy;Oral Hypoglycaemics and Insulin therapy;No treatment,,,
5d65d35a-8ccc-474a-a2ce-746a518ed6f5,,,Use of traditional medicine,ការប្រើប្រាស់ឱសថបុរាណ,Use of traditional medicine,ការប្រើប្រាស់ឱសថបុរាណ,,,Question,Coded,Yes;No,,,
634f28c7-74c9-4b4e-b74d-6ac6a7a797ea,,,Stroke,ជំងឺគ្រោះថ្នាក់សរសៃឈាមខួរក្បាល,Stroke,ជំងឺគ្រោះថ្នាក់សរសៃឈាមខួរក្បាល,,,Misc,N/A,,,,
871389dc-a412-40ba-aa6d-d12497065ce0,,,Amputation,ការកាត់អវៈយវៈ,Amputation,ការកាត់អវៈយវៈ,,,Misc,N/A,,,,
63ab6543-78c9-4079-887a-8498a51bb98c,,,Chronic renal failure,ការខ្សោយតំរងនោមរ៉ាំរ៉ៃ,Chronic renal failure,ការខ្សោយតំរងនោមរ៉ាំរ៉ៃ,,,Misc,N/A,,,,
fcf078a5-a839-49d7-99cf-5427b0fbaad3,,,Acute myocardial Infarction,ជំងឺ myocardial infarction ស្រួចស្រាវ,Acute myocardial Infarction,ជំងឺ myocardial infarction ស្រួចស្រាវ,,,Misc,N/A,,,,
c64409ef-18fb-4e33-a187-e127243cb30c,,,Blindness,ពិការភ្នែក,Blindness,ពិការភ្នែក,,,Misc,N/A,,,,
11a2da88-7235-4182-b808-99ba2fb4a1a5,,,Foot problem,បញ្ហាជើង,Foot problem,បញ្ហាជើង,,,Misc,N/A,,,,
a9e26e21-126f-45ed-98f2-f4fb423bc634,,,Previous complications,ផលវិបាកពីមុន,Previous complications,ផលវិបាកពីមុន,,,Question,Coded,Stroke;Amputation;Chronic renal failure;Acute myocardial Infarction;Blindness;Foot problem,,,
868e9ebe-86fd-467a-b7a8-345437f340af,,,Other complications,ផលវិបាកផ្សេងទៀត,Other complications,ផលវិបាកផ្សេងទៀត,,,Misc,Text,,,,
c67a6c5e-2559-46a8-b9da-2cb38bfff8a3,,,Presence of allergies,មានប្រតិកម្មជាមួយថ្នាំ,Presence of allergies,មានប្រតិកម្មជាមួយថ្នាំ,,,Question,Coded,Yes;No,,,
b082eb80-3495-4af8-a970-0ae0af6ce184,,,Allergies,ប្រតិកម្មថ្នាំ,Allergies,ប្រតិកម្មថ្នាំ,,,Misc,Text,,,,
436880a8-e47a-4fc1-9ad6-07fe543034c8,,,Severity of allergies,កម្រិតនៃប្រតិកម្មថ្នាំ,Severity of Allergies,កម្រិតនៃប្រតិកម្មថ្នាំ,,,Question,Coded,Mild;Medium;Severe,,,
9f7c8739-3ea3-4f7f-8648-d6c36fef7be2,,,Treatment Recommendations,អនុសាសន៍អំពីការព្យាបាល,Treatment Recommendations,អនុសាសន៍អំពីការព្យាបាល,,,Question,Coded,Healthy Diet;Physical Activity;Alcohol Consumption;Smoking,,,
2aad4642-7c64-4249-a9ac-8e52aa94c4f4,,,Other Treatment Recommendations,អនុសាសន៍នៃការព្យាបាលផ្សេងទៀត,Other Treatment Recommendations,អនុសាសន៍នៃការព្យាបាលផ្សេងទៀត,,,Question,Text,,,,
0c61b26b-c242-4e36-94b6-97328586bee4,,,Cardiovascular disease,ជំងឺ​សរសៃឈាម​បេះដូង,Cardiovascular disease,ជំងឺ​សរសៃឈាម​បេះដូង,,,Misc,N/A,,,,
43c557a0-6e35-40e2-90f8-862a07377152,,,Nephropathy,ជំងឺតំរងនោម,Nephropathy,ជំងឺតំរងនោម,,,Misc,N/A,,,,
375325ae-dddf-480f-827a-1bfcf581c97b,,,Retinopathy,ជំងឺរ៉េទីនភ្នែក,Retinopathy,ជំងឺរ៉េទីនភ្នែក,,,Misc,N/A,,,,
3f36a039-eac3-46bd-8798-102c55639d49,,,Current complications,ផលវិបាកបច្ចុប្បន្ន,Previous complications,ផលវិបាកបច្ចុប្បន្ន,,,Question,Coded,Cardiovascular disease;Foot problem;Nephropathy;Cerebrovascular Accident (I64);Retinopathy;Other,,,
