Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
a75289e3-427c-4e14-ad67-50fc34dcc733,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 2 - <6 yrs,8.05,9.2,11.5,13.5,16.2,20.25,$patient.getAge() >= 2 && $patient.getAge() < 6
539619f8-19ff-4063-9f6a-03a8d9331012,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 6 - <13 yrs,8.4,9.6,12,14.5,17.4,21.75,$patient.getAge() >= 6 && $patient.getAge() < 13
e63ce18d-b109-4097-9257-0258fbd54340,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 13 - <16 yrs,8.75,10,12.5,15.5,18.6,23.25,$patient.getAge() >= 13 && $patient.getAge() < 16
ca4e4986-5945-4dd3-bba6-57cb87b267ed,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina mujer 16 - <18 yrs,8.4,9.6,12,15,18,22.5,$patient.getAge() >= 16 && $patient.getAge() < 18 && $patient.getGender().equals("F")
380b13ad-995a-4adc-83bc-454222e81c04,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina hombre 16 - <18 yrs,9.45,10.8,13.5,17,20.4,25.5,$patient.getAge() >= 16 && $patient.getAge() < 18 && $patient.getGender().equals("M")
4a7b9f10-7d7b-4cb5-ab6c-3f9fe96809ed,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina adulto mujer 18 - <60 yrs,8.05,9.2,11.5,14.5,17.4,21.75,$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals("F")
44dcad2a-1a4d-432a-928d-a7b2f15303c4,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina adulto hombre 18 - <60 yrs,9.45,10.8,13.5,17,20.4,25.5,$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals("M")
d42fd5b0-8aa6-44ec-8bab-8b415569da26,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina adulto mayor mujer <60 yrs,8.05,9.2,11.5,14,16.8,21,$patient.getAge() >= 60 && $patient.getGender().equals("F")
7ec23591-4ea6-41ae-b97e-d06b2fe2fce1,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina adulto mayor hombre <60 yrs,8.75,10,12.5,16,19.2,24,$patient.getAge() >= 60 && $patient.getGender().equals("M")
5c20e5ae-08d4-4546-b33b-50f757e09ba0,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina gestante 0 - <14 wks,7.7,8.8,11,13.5,16.2,20.25,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 14
9b3bf521-3b38-478f-8eba-0e329b4fd424,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina gestante 14 - <28 wks,7.35,8.4,10.5,13,15.6,19.5,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 14 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 28
a486f5a4-3ca6-440f-a8dc-60aab2ea1fd3,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina gestante 28 - <40 wks,7.35,8.4,10.5,12.5,15,18.75,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 28 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 42
12f8765c-e71e-4f18-b0ac-d0f2e92e5a7a,e52402dc-b2ca-4436-b959-81c0ac3d3558,Plaquetas 0 - <6 wks,105000,120000,150000,450000,540000,675000,$patient.getAgeInWeeks() < 6
00d08a80-2e8f-4899-a44c-1d1373a7b8f2,e52402dc-b2ca-4436-b959-81c0ac3d3558,Plaquetas <6 wks,105000,120000,150000,400000,480000,600000,$patient.getAgeInWeeks() >= 6
3c839393-27d5-47c8-95db-5e0a04167847,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos 0 - <6 wks,6300,7200,9000,30000,36000,45000,$patient.getAgeInWeeks() < 6
a3508d68-1e16-4923-bde4-e785ca9b5d3a,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos 6 - <1 yrs,4200,4800,6000,18000,21600,27000,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 1
10502c59-7328-498f-9e77-db18a35c921a,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos 1 - <2 yrs,4200,4800,6000,17000,20400,25500,$patient.getAge() >= 1 && $patient.getAge() < 2
1ac95884-9bf3-4f06-ab74-2455fea880be,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos 2 - <6 yrs,3500,4000,5000,15000,18000,22500,$patient.getAge() >= 2 && $patient.getAge() < 6
83e0eb4e-9ac5-4208-9069-887e2f6f5d31,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos 6 - <13 yrs,3150,3600,4500,13500,16200,20250,$patient.getAge() >= 6 && $patient.getAge() < 13
4437a8ed-1e46-4355-afff-6368ae06d89d,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos 13 - <16 yrs,3150,3600,4500,11000,13200,16500,$patient.getAge() >= 13 && $patient.getAge() < 16
6090fd96-1cd8-45ee-a3c5-256d0ba2021d,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos mujer 16 - <18 yrs,3150,3600,4500,11000,13200,16500,$patient.getAge() >= 16 && $patient.getAge() < 18 && $patient.getGender().equals("F")
28eeebf0-3c1c-4ddb-acf6-04b01bbc9781,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos hombre 16 - <18 yrs,3150,3600,4500,11000,13200,16500,$patient.getAge() >= 16 && $patient.getAge() < 18 && $patient.getGender().equals("M")
fbfde06c-71b7-4685-8200-436bf0a3e0fa,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos adulto mujer 18 - <60 yrs,3150,3600,4500,11000,13200,16500,$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals("F")
8adf4570-f3b4-47ae-8e42-9efb7927fac0,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos adulto hombre 18 - <60 yrs,3150,3600,4500,11000,13200,16500,$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals("M")
c8bdc074-9264-45e3-be4e-c74ce1cdfdd0,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos adulto mayor mujer <60 yrs,2100,2400,3000,9000,10800,13500,$patient.getAge() >= 60 && $patient.getGender().equals("F")
582d16ef-6255-4348-bc8a-623a0e723219,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos adulto mayor hombre <60 yrs,2100,2400,3000,9000,10800,13500,$patient.getAge() >= 60 && $patient.getGender().equals("M")
21ec299b-7d97-4644-bbd2-571bd342dc48,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos gestante 0 - <14 wks,4200,4800,6000,12000,14400,18000,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 14
f4a8e0ce-b1d6-463f-aeb9-0a9e6b5f80b9,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos gestante 14 - <28 wks,4900,5600,7000,15000,18000,22500,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 14 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 28
15a87b14-770a-4fc0-9a76-4c6f370f0c77,5797fbc7-2e33-404e-af0a-ea576ae2fdb4,Leucocitos gestante 28 - <40 wks,5600,6400,8000,16000,19200,24000,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 28 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 42
a78dd384-e1ae-43d2-8f75-1ab80077882e,8147da7e-2979-42a8-9b18-fefcb35c63c1,Linfocitos 0 - <6 wks,38.5,44,55,70,84,105,$patient.getAgeInWeeks() < 6
581bdfc0-ca2e-43a5-8f14-4afa383bf7c4,8147da7e-2979-42a8-9b18-fefcb35c63c1,Linfocitos 6 - <1 yrs,31.5,36,45,65,78,97.5,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 1
64e06799-6d78-4e3b-8b07-4aae60a1f4f1,8147da7e-2979-42a8-9b18-fefcb35c63c1,Linfocitos 1 - <2 yrs,28,32,40,60,72,90,$patient.getAge() >= 1 && $patient.getAge() < 2
6971716e-7f56-47f0-b3a3-44dd41549965,8147da7e-2979-42a8-9b18-fefcb35c63c1,Linfocitos 2 - <6 yrs,24.5,28,35,55,66,82.5,$patient.getAge() >= 2 && $patient.getAge() < 6
a2d7ade1-20c7-4921-940a-5e85e6e17a87,8147da7e-2979-42a8-9b18-fefcb35c63c1,Linfocitos 6 - <13 yrs,21,24,30,50,60,75,$patient.getAge() >= 6 && $patient.getAge() < 13
c0dd1e5b-ecb2-49c6-96cb-e0d7c32b86a0,8147da7e-2979-42a8-9b18-fefcb35c63c1,Linfocitos 13 - <16 yrs,17.5,20,25,45,54,67.5,$patient.getAge() >= 13 && $patient.getAge() < 16
3515ca0a-b377-48c4-9b1c-59f64a4c824a,8147da7e-2979-42a8-9b18-fefcb35c63c1,Linfocitos 16 - <18 yrs,14,16,20,40,48,60,$patient.getAge() >= 16 && $patient.getAge() < 18
1523abef-3eca-4c5e-9c08-51ed46e5a192,8147da7e-2979-42a8-9b18-fefcb35c63c1,Linfocitos adulto 18 - <60 yrs,14,16,20,40,48,60,$patient.getAge() >= 18 && $patient.getAge() < 60
a400e2a2-58e8-4aad-be45-b7474aeade11,8147da7e-2979-42a8-9b18-fefcb35c63c1,Linfocitos adulto mayor <60 yrs,14,16,20,40,48,60,$patient.getAge() >= 60
086eb245-dcfd-48aa-b7e3-a3dabe169644,8147da7e-2979-42a8-9b18-fefcb35c63c1,Linfocitos gestante,14,16,20,40,48,60,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true
471d1a4c-66a5-4906-bb2a-17ffe92ed408,3f3a7199-60d8-41d9-b8da-2864bdd16720,Basofilos,0.1,0.2,0.3,1,1.8,2.25,$patient.getAge() >= 0
dce58732-f166-4ac2-aeef-6e86f87a37c9,ceedfa8d-a716-41d5-835b-068dc967b6fa,Bilirrubina 0 - <6 wks,0.7,0.8,1,12,14.4,18,$patient.getAgeInWeeks() < 6
96058d23-2b09-40be-8216-afa2058a4f74,ceedfa8d-a716-41d5-835b-068dc967b6fa,Bilirrubina 6 - <16 yrs,0.14,0.16,0.2,1,1.2,1.5,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 16
a509260a-c27e-4b00-84b4-fced937d39cb,ceedfa8d-a716-41d5-835b-068dc967b6fa,Bilirrubina 16 - <18 yrs,0.14,0.16,0.2,1,1.2,1.5,$patient.getAge() >= 16 && $patient.getAge() < 18
0a87005f-3ad5-4a1a-9e3c-321193d4cee6,ceedfa8d-a716-41d5-835b-068dc967b6fa,Bilirrubina adulto mujer 18 - <60 yrs,0.14,0.16,0.2,1,1.2,1.5,$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals("F")
4a8161ad-0c42-4a48-ac46-05aee6162fac,ceedfa8d-a716-41d5-835b-068dc967b6fa,Bilirrubina adulto hombre 18 - <60 yrs,0.14,0.16,0.2,1.2,1.44,1.8,$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals("M")
e64f4a31-a67b-4636-90d7-537082c87116,ceedfa8d-a716-41d5-835b-068dc967b6fa,Bilirrubina adulto mayor mujer <60 yrs,0.14,0.16,0.2,1,1.2,1.5,$patient.getAge() >= 60 && $patient.getGender().equals("F")
de95111d-09ba-4df8-8607-bd70bb777411,ceedfa8d-a716-41d5-835b-068dc967b6fa,Bilirrubina adulto mayor hombre <60 yrs,0.14,0.16,0.2,1.2,1.44,1.8,$patient.getAge() >= 60 && $patient.getGender().equals("M")
d8cabd15-c9c3-41aa-876a-f606039bd3e3,ceedfa8d-a716-41d5-835b-068dc967b6fa,Bilirrubina gestante,0.14,0.16,0.2,1,1.2,1.5,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true
2ed9cd7b-2049-425d-aaac-b0c4f1763ef9,4686f6f2-a42e-47c3-aa56-8301bd1c71b6,Alanina Transferasa 0 - <1 yrs,7,8,10,40,48,60,$patient.getAge() < 1
f077b60d-26cd-44c9-a903-6814189d37c8,4686f6f2-a42e-47c3-aa56-8301bd1c71b6,Alanina Transferasa 1 - <16 yrs,7,8,10,35,42,52.5,$patient.getAge() >= 1 && $patient.getAge() < 16
a557f32c-14a5-4a78-a4f4-2a8d76953614,4686f6f2-a42e-47c3-aa56-8301bd1c71b6,Alanina Transferasa mujer 16 - <18 yrs,7,8,10,35,42,52.5,$patient.getAge() >= 16 && $patient.getAge() < 18 && $patient.getGender().equals("F")
5af3984c-b4fc-466a-a9a2-12536f38ca45,4686f6f2-a42e-47c3-aa56-8301bd1c71b6,Alanina Transferasa hombre 16 - <18 yrs,7,8,10,45,54,67.5,$patient.getAge() >= 16 && $patient.getAge() < 18 && $patient.getGender().equals("M")
d892fd67-fcdd-475c-b164-ec8aa0fd1724,4686f6f2-a42e-47c3-aa56-8301bd1c71b6,Alanina Transferasa adulto mujer 18 - <60 yrs,7,8,10,35,42,52.5,$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals("F")
bd4f6cca-0393-413c-bea2-c299efe0398e,4686f6f2-a42e-47c3-aa56-8301bd1c71b6,Alanina Transferasa adulto hombre 18 - <60 yrs,7,8,10,45,54,67.5,$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals("M")
1cbc6337-0727-4347-97c0-071ff3a0afaa,4686f6f2-a42e-47c3-aa56-8301bd1c71b6,Alanina Transferasa adulto mayor mujer <60 yrs,7,8,10,35,42,52.5,$patient.getAge() >= 60 && $patient.getGender().equals("F")
d5781383-0537-4e71-aa3d-77b922083c2e,4686f6f2-a42e-47c3-aa56-8301bd1c71b6,Alanina Transferasa adulto mayor hombre <60 yrs,7,8,10,45,54,67.5,$patient.getAge() >= 60 && $patient.getGender().equals("M")
b7c9c626-abe0-41d3-8524-df47874a09b4,4686f6f2-a42e-47c3-aa56-8301bd1c71b6,Alanina Transferasa gestante,7,8,10,40,48,60,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true
e13fc3d6-16a4-4d0a-8778-8dce9e22ca4e,96a1c868-1852-4606-9999-9602f1a93cd6,Glucosa 0 - <6 wks,28,32,40,96,115.2,144,$patient.getAgeInWeeks() < 6
364ab40b-8bb3-494b-9137-16c920d46ae0,96a1c868-1852-4606-9999-9602f1a93cd6,Glucosa 6 - <2 yrs,42,48,60,110,132,165,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 2
d506f2d3-d1e0-4225-bb7e-cdfa7edcac43,96a1c868-1852-4606-9999-9602f1a93cd6,Glucosa 2 - <16 yrs,49,56,70,110,132,165,$patient.getAge() >= 2 && $patient.getAge() < 16
5ee9f0f6-15b9-4c6b-95d7-1176502a363d,96a1c868-1852-4606-9999-9602f1a93cd6,Glucosa 16 - <18 yrs,49,56,70,110,132,165,$patient.getAge() >= 16 && $patient.getAge() < 18
b26bf187-d1ac-45d1-8d23-b14230ce8a95,96a1c868-1852-4606-9999-9602f1a93cd6,Glucosa adulto 18 - <60 yrs,49,56,70,110,132,165,$patient.getAge() >= 18 && $patient.getAge() < 60
6ab00c66-c0f6-4ab0-96bf-0c9a79ed274e,96a1c868-1852-4606-9999-9602f1a93cd6,Glucosa adulto mayor <60 yrs,49,56,70,110,132,165,$patient.getAge() >= 60
22e25225-17ec-40d3-8b5c-d18cbb97d393,96a1c868-1852-4606-9999-9602f1a93cd6,Glucosa gestante,49,56,70,110,132,165,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true
27c63745-afd9-4d6c-936b-665318b45ffb,f85153d1-64b9-4119-9beb-03ad2c4657f3,Colesterol 0 - <16 yrs,105,120,150,170,204,255,$patient.getAge() < 16
751723cc-1a47-4263-8666-3c308c7d4529,f85153d1-64b9-4119-9beb-03ad2c4657f3,Colesterol 16 - <18 yrs,140,160,180,200,240,300,$patient.getAge() >= 16 && $patient.getAge() < 18
0229076e-0eb3-4505-a46d-1abe61f30532,f85153d1-64b9-4119-9beb-03ad2c4657f3,Colesterol adulto 18 - <60 yrs,140,160,180,200,240,300,$patient.getAge() >= 18 && $patient.getAge() < 60
5f1ca8f8-acf1-4606-a1eb-ff1ba6d89273,f85153d1-64b9-4119-9beb-03ad2c4657f3,Colesterol adulto mayor <60 yrs,140,160,180,200,240,300,$patient.getAge() >= 60
de03bcce-b260-492a-979c-cbb7d547598f,f85153d1-64b9-4119-9beb-03ad2c4657f3,Colesterol gestante 0 - <14 wks,140,160,180,200,240,300,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 14
4ca8f510-dca9-4387-bd59-cade415cc477,f85153d1-64b9-4119-9beb-03ad2c4657f3,Colesterol gestante 14 - <28 wks,175,200,225,250,300,375,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 14 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 28
304bb175-c706-41d3-9e44-ff0065c136d2,f85153d1-64b9-4119-9beb-03ad2c4657f3,Colesterol gestante 28 - <40 wks,210,240,270,300,360,450,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 28 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 42
58e4afa1-a144-4acf-a1ea-99040b8c75d7,57d9d337-58fa-42c3-97e2-b49c66f3f7bf,Trigliceridos 0 - <16 yrs,70,80,100,150,180,225,$patient.getAge() < 16
2b3933cc-e581-467d-9a23-7e3535e3a023,57d9d337-58fa-42c3-97e2-b49c66f3f7bf,Trigliceridos 16 - <18 yrs,70,80,100,150,180,225,$patient.getAge() >= 16 && $patient.getAge() < 18
1b3b69d6-563e-45a6-9815-d527043f6a0c,57d9d337-58fa-42c3-97e2-b49c66f3f7bf,Trigliceridos adulto 18 - <60 yrs,70,80,100,150,180,225,$patient.getAge() >= 18 && $patient.getAge() < 60
986a8ee0-14b2-4d69-ae66-bcbbe40826cf,57d9d337-58fa-42c3-97e2-b49c66f3f7bf,Trigliceridos adulto mayor <60 yrs,70,80,100,150,180,225,$patient.getAge() >= 60
2e11eb3a-e629-41ee-9c01-29fbfe3e0461,57d9d337-58fa-42c3-97e2-b49c66f3f7bf,Trigliceridos gestante 0 - <14 wks,70,80,100,150,180,225,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 14
1cac6c3a-c248-4f46-840e-b329508acb17,57d9d337-58fa-42c3-97e2-b49c66f3f7bf,Trigliceridos gestante 14 - <28 wks,93.3,106.7,133.3,200,240,300,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 14 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 28
4f0046ee-3883-4023-9f0d-def8704096d7,57d9d337-58fa-42c3-97e2-b49c66f3f7bf,Trigliceridos gestante 28 - <40 wks,140,160,200,250,300,375,$fn.getLatestObs("abaf7d91-e9cb-4569-ab65-2b2ab8226a2c").getValueBoolean() == true && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() >= 28 && $fn.getLatestObs("0f053bc0-1cc4-4114-a08e-f31d18012e0b").getValueNumeric() < 42
b98f0506-3a6f-45c1-af84-f6eb0d194d42,39a10ef6-4b38-48ab-b0cd-f5852caf9651,Potasio 0 - <6 wks,2.45,2.8,3.5,6,7.2,9,$patient.getAgeInWeeks() < 6
e91628b6-2d47-4d5e-9a38-5118bb47e3b3,39a10ef6-4b38-48ab-b0cd-f5852caf9651,Potasio 6 - <1 yrs,2.8,3.2,4,5.5,6.6,8.25,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 1
c41cb0b2-339a-4eda-bfb8-bd7b08d1dc21,39a10ef6-4b38-48ab-b0cd-f5852caf9651,Potasio 1 - <6 yrs,2.8,3.2,4,5.3,6.36,7.95,$patient.getAge() >= 1 && $patient.getAge() < 6
ccfa7184-4666-4883-a56a-0b6bd70acb11,39a10ef6-4b38-48ab-b0cd-f5852caf9651,Potasio 6 - <16 yrs,2.66,3.04,3.8,5,6,7.5,$patient.getAge() >= 6 && $patient.getAge() < 16
3ae55317-f96e-4405-80aa-b9b340f4abc7,39a10ef6-4b38-48ab-b0cd-f5852caf9651,Potasio 16 - <18 yrs,2.45,2.8,3.5,5,6,7.5,$patient.getAge() >= 16 && $patient.getAge() < 18
