Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
a17d76c9-1096-46a7-a40a-098dd4600750,,00750 - AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA) 500 mg + 125 mg,AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA),bd1e9059-62b4-4967-a804-a63eda4f8657,500 mg + 125 mg,
6f6b9975-c6ff-4660-8cdb-7abc15c00786,,00786 - AMOXICILINA 250 mg/5 mL 120 mL,AMOXICILINA,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,250 mg/5 mL 120 mL,
e6e2a833-fbde-439b-8219-d4eb75000794,,00794 - AMOXICILINA 250 mg/5 mL 60 mL,AMOXICILINA,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,250 mg/5 mL 60 mL,
7840c95c-92c2-42c9-b56c-ddda19b00807,,00807 - AMOXICILINA 250 mg,AMOXICILINA,bd1e9059-62b4-4967-a804-a63eda4f8657,250 mg,
fea1180e-c138-4d37-a5c0-4b964cb00808,,00808 - AMOXICILINA 500 mg,AMOXICILINA,bd1e9059-62b4-4967-a804-a63eda4f8657,500 mg,
5464a151-c5d5-42f3-b76b-335038000830,,00830 - AMPICILINA SODICA 1 g,AMPICILINA SODICA,6eee6dc1-1976-4f1f-928e-0575aa94a0af,1 g,
59ac3260-3a54-43e1-ad14-a5638f500882,,00882 - ARTEMETERO + LUMEFANTRINA 20 mg + 120 mg,ARTEMETERO + LUMEFANTRINA,bd1e9059-62b4-4967-a804-a63eda4f8657,20 mg + 120 mg,
d280914b-31f7-4d46-9a3f-2f427c600900,,00900 - ATENOLOL 100 mg,ATENOLOL,bd1e9059-62b4-4967-a804-a63eda4f8657,100 mg,
8aa1ba77-a68f-434d-a683-93e01d700903,,00903 - ATORVASTATINA (COMO SAL CALCICA) 20 mg,ATORVASTATINA (COMO SAL CALCICA),bd1e9059-62b4-4967-a804-a63eda4f8657,20 mg,
e5d832d4-0e44-40ea-b133-992589800904,,00904 - ATORVASTATINA (COMO SAL CALCICA) 40 mg,ATORVASTATINA (COMO SAL CALCICA),bd1e9059-62b4-4967-a804-a63eda4f8657,40 mg,
7a7a57b3-da23-4f88-9bb9-5503e9100909,,00909 - ATROPINA SULFATO 500 µg/mL (0.5 mg/mL) 1 mL,ATROPINA SULFATO,6eee6dc1-1976-4f1f-928e-0575aa94a0af,500 µg/mL (0.5 mg/mL) 1 mL,
f9b68e7a-663e-4f1a-90b8-9a6d05b00910,,00910 - ATROPINA SULFATO 1 mg/mL 1 mL,ATROPINA SULFATO,6eee6dc1-1976-4f1f-928e-0575aa94a0af,1 mg/mL 1 mL,
f6f1b545-aabd-4cf5-af05-8beade500914,,00914 - ATROPINA SULFATO (SOLUCION OFTALMICA) 10 mg/mL (1 %) 5 mL,ATROPINA SULFATO (SOLUCION OFTALMICA),c8febc22-2831-42d5-a6e2-165500b0a6ab,10 mg/mL (1 %) 5 mL,
caef0dfc-e1e2-4a0c-8eb5-6ff386d00921,,00921 - AZATIOPRINA 50 mg,AZATIOPRINA,bd1e9059-62b4-4967-a804-a63eda4f8657,50 mg,
70e28302-be19-4ec4-b28d-58b7ceb00933,,00933 - AZITROMICINA 200 mg/5 mL 30 mL,AZITROMICINA,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,200 mg/5 mL 30 mL,
be6ea8bc-122b-4431-a3eb-763bf8600939,,00939 - AZITROMICINA 200 mg/5 mL 60 mL,AZITROMICINA,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,200 mg/5 mL 60 mL,
ca3f73d8-238b-41a8-89cc-3c1c5cb00946,,00946 - AZITROMICINA 250 mg,AZITROMICINA,bd1e9059-62b4-4967-a804-a63eda4f8657,250 mg,
7ec361b3-32c7-4627-a1ab-6622fb100947,,00947 - AZITROMICINA 500 mg,AZITROMICINA,bd1e9059-62b4-4967-a804-a63eda4f8657,500 mg,
8bf8c928-ca64-49a9-bf0b-27a692701009,,01009 - BECLOMETASONA DIPROPIONATO 250 µg/DOSIS 200,BECLOMETASONA DIPROPIONATO,6e2c4911-4cbb-481e-9fb2-e40e2aee1c3f,250 µg/DOSIS 200,
a5706e1d-355d-40eb-a636-cf9b35101012,,01012 - BECLOMETASONA DIPROPIONATO 50 µg/DOSIS 200,BECLOMETASONA DIPROPIONATO,6e2c4911-4cbb-481e-9fb2-e40e2aee1c3f,50 µg/DOSIS 200,
b2865ae3-e925-4071-8a6e-4f68f5f01029,,01029 - BENCILPENICILINA PROCAINICA 1000000 UI,BENCILPENICILINA PROCAINICA,6eee6dc1-1976-4f1f-928e-0575aa94a0af,1000000 UI,
15a89f08-306b-4245-822b-5f7a4a101032,,01032 - BENCILPENICILINA SODICA 1000000 UI,BENCILPENICILINA SODICA,6eee6dc1-1976-4f1f-928e-0575aa94a0af,1000000 UI,
7d47d9dd-2882-401a-99f1-05b231301043,,01043 - BENZATINA BENCILPENICILINA 1200000 UI,BENZATINA BENCILPENICILINA,6eee6dc1-1976-4f1f-928e-0575aa94a0af,1200000 UI,
f67b5721-8df2-4f7b-9129-b80d33801044,,01044 - BENZATINA BENCILPENICILINA 2400000 UI,BENZATINA BENCILPENICILINA,6eee6dc1-1976-4f1f-928e-0575aa94a0af,2400000 UI,
941055a6-a224-412a-a009-1d37dc701053,,01053 - BENZOATO DE BENCILO 25 g/100 mL (25 %) 120 mL LOCION,BENZOATO DE BENCILO,96b06a44-5003-438b-9504-66c1c5ba967f,25 g/100 mL (25 %) 120 mL LOCION,
7e35d243-4d26-4863-a98e-3850f7f01205,,01205 - BETAMETASONA (COMO DIPROPIONATO) 50 mg/100 g (0.05 %) 20 g,BETAMETASONA (COMO DIPROPIONATO),626078e7-8eef-48ea-9e43-7ccd4dc8dda9,50 mg/100 g (0.05 %) 20 g,
8e44fbe4-ac96-4547-b416-1ce72d101213,,01213 - BETAMETASONA (COMO FOSFATO SODICO) 4 mg/mL 1 mL,BETAMETASONA (COMO FOSFATO SODICO),6eee6dc1-1976-4f1f-928e-0575aa94a0af,4 mg/mL 1 mL,
745b398b-9459-4062-ba92-3c217df01243,,01243 - BIPERIDENO CLORHIDRATO 2 mg,BIPERIDENO CLORHIDRATO,bd1e9059-62b4-4967-a804-a63eda4f8657,2 mg,
51bb9862-e146-491d-b370-b1b270a01256,,01256 - BISMUTO SUBSALICILATO 87.33 mg/5 mL 150 mL,BISMUTO SUBSALICILATO,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,87.33 mg/5 mL 150 mL,
31aed62e-2083-4b26-9a05-8c3111c01260,,01260 - BISMUTO SUBSALICILATO 87.33 mg/5 mL 240 mL,BISMUTO SUBSALICILATO,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,87.33 mg/5 mL 240 mL,
bfcc0aae-bd07-431a-9345-9cb1a8101274,,01274 - BISOPROLOL FUMARATO 5 mg,BISOPROLOL FUMARATO,bd1e9059-62b4-4967-a804-a63eda4f8657,5 mg,
9531ea0a-d21c-4239-9de1-144a76101323,,01323 - BROMOCRIPTINA (COMO MESILATO) 2.5 mg,BROMOCRIPTINA (COMO MESILATO),bd1e9059-62b4-4967-a804-a63eda4f8657,2.5 mg,
451fc150-57e6-4e23-8aef-2a8d8da01358,,01358 - BUDESONIDA 200 µg/DOSIS 200,BUDESONIDA,6e2c4911-4cbb-481e-9fb2-e40e2aee1c3f,200 µg/DOSIS 200,
289e773c-6afe-4d92-9fae-105075c01378,,01378 - BUPIVACAINA CLORHIDRATO (SIN PRESERVANTES) 5 mg/mL (0.5 %) 20 mL,BUPIVACAINA CLORHIDRATO (SIN PRESERVANTES),6eee6dc1-1976-4f1f-928e-0575aa94a0af,5 mg/mL (0.5 %) 20 mL,
79cfceaa-5661-4b87-b839-5fea9f001391,,01391 - CABERGOLINA 500 µg (0.5 mg),CABERGOLINA,bd1e9059-62b4-4967-a804-a63eda4f8657,500 µg (0.5 mg),
8e5cf805-3b84-42f4-868c-950656601451,,01451 - CALCIO CARBONATO 500 mg (Equiv. a 500 mg de Calcio),CALCIO CARBONATO,bd1e9059-62b4-4967-a804-a63eda4f8657,500 mg (Equiv. a 500 mg de Calcio),
5708b71f-14e0-4d2d-b840-2cf465c01467,,01467 - CALCIO GLUCONATO 100 mg/mL (Equiv. a 8.4 mg/mL de Calcio) 10 mL,CALCIO GLUCONATO,6eee6dc1-1976-4f1f-928e-0575aa94a0af,100 mg/mL (Equiv. a 8.4 mg/mL de Calcio) 10 mL,
9f632259-d963-45ec-82d7-d654fc801522,,01522 - CAPTOPRIL 25 mg,CAPTOPRIL,bd1e9059-62b4-4967-a804-a63eda4f8657,25 mg,
5fb4dc05-d402-40e9-8a28-614766a01525,,01525 - CARBAMAZEPINA 100 mg/5 mL 100 mL,CARBAMAZEPINA,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,100 mg/5 mL 100 mL,
86a35d1e-a838-42e9-9b9d-cf77b4201532,,01532 - CARBAMAZEPINA 200 mg,CARBAMAZEPINA,bd1e9059-62b4-4967-a804-a63eda4f8657,200 mg,
853a414f-b0e4-43b8-a820-1192e9f01537,,01537 - CARBIDOPA + LEVODOPA 25 mg + 250 mg,CARBIDOPA + LEVODOPA,bd1e9059-62b4-4967-a804-a63eda4f8657,25 mg + 250 mg,
0ea8b9f5-50b8-440b-9cc7-ca3bec801628,,01628 - CEFALEXINA 250 mg/5 mL 60 mL,CEFALEXINA,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,250 mg/5 mL 60 mL,
f50cd6ac-c1f3-4863-b8fe-9082a3901636,,01636 - CEFALEXINA 500 mg,CEFALEXINA,bd1e9059-62b4-4967-a804-a63eda4f8657,500 mg,
a636550a-73d7-4721-a108-7b5a65201639,,01639 - CEFAZOLINA (COMO SAL SODICA) 1 g,CEFAZOLINA (COMO SAL SODICA),6eee6dc1-1976-4f1f-928e-0575aa94a0af,1 g,
101dd30e-b48f-40dd-8723-2c8dc1601682,,01682 - CEFTAZIDIMA 1 g,CEFTAZIDIMA,6eee6dc1-1976-4f1f-928e-0575aa94a0af,1 g,
2d293a87-6a39-4a98-be16-0a155bc01684,,01684 - CEFTRIAXONA SODICA 1 g,CEFTRIAXONA SODICA,6eee6dc1-1976-4f1f-928e-0575aa94a0af,1 g,
32062251-4fa5-4f91-abe1-3c2ee2301705,,01705 - CEFUROXIMA (COMO AXETIL) 250 mg/5 mL 50 mL,CEFUROXIMA (COMO AXETIL),cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,250 mg/5 mL 50 mL,
96987fce-d67f-4d83-b076-6f771b701711,,01711 - CEFUROXIMA (COMO AXETIL) 500 mg,CEFUROXIMA (COMO AXETIL),bd1e9059-62b4-4967-a804-a63eda4f8657,500 mg,
3d1b1176-6e45-4c06-8658-ebe646601788,,01788 - CICLOSERINA 250 mg,CICLOSERINA,bd1e9059-62b4-4967-a804-a63eda4f8657,250 mg,
037ea307-d3a7-41fb-a831-81b4e9a01800,,01800 - CILASTATINA + IMIPENEM (COMO SAL SODICA) 500 mg + 500 mg,CILASTATINA + IMIPENEM (COMO SAL SODICA),6eee6dc1-1976-4f1f-928e-0575aa94a0af,500 mg + 500 mg,
f33ebb9a-f579-405c-afab-5f0d93101837,,01837 - CIPROFLOXACINO (COMO LACTATO) 200 mg 100 mL,CIPROFLOXACINO (COMO LACTATO),6eee6dc1-1976-4f1f-928e-0575aa94a0af,200 mg 100 mL,
362ec98e-8bb3-451b-8a6d-be5708501841,,01841 - CIPROFLOXACINO (COMO CLORHIDRATO) (SOLUCION OFTALMICA) 3 mg/mL (0.3 %) 5 mL,CIPROFLOXACINO (COMO CLORHIDRATO) (SOLUCION OFTALMICA),c8febc22-2831-42d5-a6e2-165500b0a6ab,3 mg/mL (0.3 %) 5 mL,
9ecd15b9-c8ff-48ef-9423-33b493e01846,,01846 - CIPROFLOXACINO (COMO CLORHIDRATO) 500 mg,CIPROFLOXACINO (COMO CLORHIDRATO),bd1e9059-62b4-4967-a804-a63eda4f8657,500 mg,
519921ba-73f5-4c98-9dde-dd42e4101925,,01925 - CLARITROMICINA 250 mg/5 mL 60 mL,CLARITROMICINA,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,250 mg/5 mL 60 mL,
419f7b52-0715-477f-84b4-4d2664301930,,01930 - CLARITROMICINA 500 mg,CLARITROMICINA,bd1e9059-62b4-4967-a804-a63eda4f8657,500 mg,
da5e5d98-3028-4057-98fb-89c3b9101957,,01957 - CLINDAMICINA 300 mg 4 mL,CLINDAMICINA,6eee6dc1-1976-4f1f-928e-0575aa94a0af,300 mg 4 mL,
f158a674-bd37-4dc5-9217-a5e6b2b01958,,01958 - CLINDAMICINA (COMO FOSFATO) 600 mg 4 mL,CLINDAMICINA (COMO FOSFATO),6eee6dc1-1976-4f1f-928e-0575aa94a0af,600 mg 4 mL,
b54d0836-e07b-45d0-953b-4ab3ac901964,,01964 - CLINDAMICINA (COMO CLORHIDRATO) 300 mg,CLINDAMICINA (COMO CLORHIDRATO),bd1e9059-62b4-4967-a804-a63eda4f8657,300 mg,
095eeba4-eacd-4e6b-aaa9-4ab481201973,,01973 - CLOBETASOL PROPIONATO 50 mg/100 g (0.05 %) 25 g,CLOBETASOL PROPIONATO,626078e7-8eef-48ea-9e43-7ccd4dc8dda9,50 mg/100 g (0.05 %) 25 g,
f62f67a0-0a4f-425d-80c1-6b2d18a01997,,01997 - CLOMIPRAMINA CLORHIDRATO 25 mg,CLOMIPRAMINA CLORHIDRATO,bd1e9059-62b4-4967-a804-a63eda4f8657,25 mg,
7d8cd353-31f2-4e92-b36b-6e2995602003,,02003 - CLONAZEPAM 500 µg (0.5 mg),CLONAZEPAM,bd1e9059-62b4-4967-a804-a63eda4f8657,500 µg (0.5 mg),
029f1857-df77-40d2-bd70-46d89b702004,,02004 - CLONAZEPAM 2 mg,CLONAZEPAM,bd1e9059-62b4-4967-a804-a63eda4f8657,2 mg,
a6cd1178-a35c-4420-a404-f98917602031,,02031 - CLORANFENICOL (COMO SUCCINATO SODICO) 1 g,CLORANFENICOL (COMO SUCCINATO SODICO),6eee6dc1-1976-4f1f-928e-0575aa94a0af,1 g,
e2883259-2f16-4f25-a928-111f50c02052,,02052 - CLORANFENICOL (COMO PALMITATO) 250 mg/5 mL 60 mL,CLORANFENICOL (COMO PALMITATO),cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,250 mg/5 mL 60 mL,
74143e9e-7e8d-4321-af1b-8c3460102055,,02055 - CLORANFENICOL 500 mg,CLORANFENICOL,bd1e9059-62b4-4967-a804-a63eda4f8657,500 mg,
8d8c9415-94e6-41f8-b826-66d6dbb02128,,02128 - CLORFENAMINA MALEATO 10 mg/mL 1 mL,CLORFENAMINA MALEATO,6eee6dc1-1976-4f1f-928e-0575aa94a0af,10 mg/mL 1 mL,
40785a16-2ab3-4bae-b039-fa285af02132,,02132 - CLORFENAMINA MALEATO 2 mg/5 mL 120 mL,CLORFENAMINA MALEATO,5c4c3f0b-0a28-4876-a64e-68c44d718462,2 mg/5 mL 120 mL,
c387ec9e-bae9-4aa9-8d7d-c7b59f802144,,02144 - CLORFENAMINA MALEATO 2 mg/5 mL 60 mL,CLORFENAMINA MALEATO,5c4c3f0b-0a28-4876-a64e-68c44d718462,2 mg/5 mL 60 mL,
e695b8dc-51cc-4990-8adf-28e3a6302149,,02149 - CLORFENAMINA MALEATO 4 mg,CLORFENAMINA MALEATO,bd1e9059-62b4-4967-a804-a63eda4f8657,4 mg,
b0ed2281-b854-4a5b-8fba-e25cbd802187,,02187 - CLORHEXIDINA GLUCONATO 4 g/100 mL (4 %) 1 L,CLORHEXIDINA GLUCONATO,c8febc22-2831-42d5-a6e2-165500b0a6ab,4 g/100 mL (4 %) 1 L,
84e4ccc7-c624-43d7-9d4d-7b98a8902202,,02202 - CLOROQUINA (Equivalente a 250 mg de CLOROQUINA FOSFATO) 150 mg,CLOROQUINA (Equivalente a 250 mg de CLOROQUINA FOSFATO),bd1e9059-62b4-4967-a804-a63eda4f8657,150 mg,
2d1ae659-d45d-491c-a69c-0a9702702208,,02208 - CLORPROMAZINA CLORHIDRATO 100 mg,CLORPROMAZINA CLORHIDRATO,bd1e9059-62b4-4967-a804-a63eda4f8657,100 mg,
260277f3-0f83-4b59-bbed-83c133002309,,02309 - CLOTRIMAZOL 1 g/100 mL (1 %) 20 mL,CLOTRIMAZOL,c8febc22-2831-42d5-a6e2-165500b0a6ab,1 g/100 mL (1 %) 20 mL,
78298a97-f7eb-4ad6-8f2e-2f72a8702319,,02319 - CLOTRIMAZOL 1 g/100 g (1 %) 20 g,CLOTRIMAZOL,626078e7-8eef-48ea-9e43-7ccd4dc8dda9,1 g/100 g (1 %) 20 g,
685960b0-a6e1-4de8-b777-4d039a502354,,02354 - CLOTRIMAZOL 500 mg OVULO,CLOTRIMAZOL,96b06a44-5003-438b-9504-66c1c5ba967f,500 mg OVULO,
36376649-d1d8-4700-9d85-945da1d02361,,02361 - CLOZAPINA 100 mg,CLOZAPINA,bd1e9059-62b4-4967-a804-a63eda4f8657,100 mg,
470e1ad8-d0b8-4a01-9b82-13317ff02381,,02381 - CODEINA FOSFATO 30 mg/mL 2 mL,CODEINA FOSFATO,6eee6dc1-1976-4f1f-928e-0575aa94a0af,30 mg/mL 2 mL,
8ca3be26-7483-4092-969c-50ad59e02391,,02391 - COLCHICINA 500 µg (0.5 mg),COLCHICINA,bd1e9059-62b4-4967-a804-a63eda4f8657,500 µg (0.5 mg),
b6805182-07ce-4262-bae9-cb1f74e02635,,02635 - DEXAMETASONA + TOBRAMICINA (SUSPENSION OFTALMICA) 1 mg + 3 mg/mL 1 mL,DEXAMETASONA + TOBRAMICINA (SUSPENSION OFTALMICA),cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,1 mg + 3 mg/mL 1 mL,
4cd3b7a4-e147-4cf5-b5e3-8a17fb402641,,02641 - DEXAMETASONA FOSFATO (COMO SAL SODICA) 4 mg/mL 1 mL,DEXAMETASONA FOSFATO (COMO SAL SODICA),6eee6dc1-1976-4f1f-928e-0575aa94a0af,4 mg/mL 1 mL,
617a88d8-eff7-41b4-abe5-55520d002642,,02642 - DEXAMETASONA FOSFATO (COMO SAL SODICA) 4 mg/2 mL 2 mL,DEXAMETASONA FOSFATO (COMO SAL SODICA),6eee6dc1-1976-4f1f-928e-0575aa94a0af,4 mg/2 mL 2 mL,
2d1f0727-6ebd-454f-beb0-c5dbeb302653,,02653 - DEXAMETASONA 2 mg/5 mL 100 mL ELIXIR,DEXAMETASONA,96b06a44-5003-438b-9504-66c1c5ba967f,2 mg/5 mL 100 mL ELIXIR,
9c67211c-3870-426a-adbb-bf2a25102654,,02654 - DEXAMETASONA 500 µg (0.5 mg),DEXAMETASONA,bd1e9059-62b4-4967-a804-a63eda4f8657,500 µg (0.5 mg),
4052af25-9900-4bd0-94d9-61c71bf02657,,02657 - DEXAMETASONA 4 mg,DEXAMETASONA,bd1e9059-62b4-4967-a804-a63eda4f8657,4 mg,
37aa4c07-d73d-4aa1-9ee1-2e9970a02724,,02724 - DEXTROMETORFANO BROMHIDRATO 15 mg/5 mL 120 mL,DEXTROMETORFANO BROMHIDRATO,5c4c3f0b-0a28-4876-a64e-68c44d718462,15 mg/5 mL 120 mL,
b33a36f3-1fad-4709-b011-16873d302752,,02752 - DIAZEPAM 5 mg/mL 2 mL,DIAZEPAM,6eee6dc1-1976-4f1f-928e-0575aa94a0af,5 mg/mL 2 mL,
b741ed25-ad57-45f2-ae9c-c6cf90d02754,,02754 - DIAZEPAM 10 mg,DIAZEPAM,bd1e9059-62b4-4967-a804-a63eda4f8657,10 mg,
161a0b60-8f8c-4d53-88bb-06cd25902777,,02777 - DICLOFENACO 1 g/100 g 20 g,DICLOFENACO,680884a3-3e18-4b67-9c97-78700918f4a3,1 g/100 g 20 g,
85b14b33-b692-4b3a-aa4c-2e70d4502788,,02788 - DICLOFENACO SODICO 25 mg/mL 3 mL,DICLOFENACO SODICO,6eee6dc1-1976-4f1f-928e-0575aa94a0af,25 mg/mL 3 mL,
79ebc8db-01bf-4b35-8154-4a00b0a02794,,02794 - DICLOFENACO (SOLUCION OFTALMICA) 1 mg/mL 5 mL,DICLOFENACO (SOLUCION OFTALMICA),c8febc22-2831-42d5-a6e2-165500b0a6ab,1 mg/mL 5 mL,
8dea37ce-fd4f-4f8c-b9a0-256891302826,,02826 - DICLOXACILINA (COMO SAL SODICA) 250 mg/5 mL 120 mL,DICLOXACILINA (COMO SAL SODICA),cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,250 mg/5 mL 120 mL,
baf5c951-e0c7-4cde-b619-1a56a0802830,,02830 - DICLOXACILINA (COMO SAL SODICA) 250 mg/5 mL 60 mL,DICLOXACILINA (COMO SAL SODICA),cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,250 mg/5 mL 60 mL,
5e57600f-16a8-40ed-b2d5-0e7075302835,,02835 - DICLOXACILINA (COMO SAL SODICA) 250 mg,DICLOXACILINA (COMO SAL SODICA),bd1e9059-62b4-4967-a804-a63eda4f8657,250 mg,
af312b21-bd22-47d3-97c8-7ddecfe02836,,02836 - DICLOXACILINA (COMO SAL SODICA) 500 mg,DICLOXACILINA (COMO SAL SODICA),bd1e9059-62b4-4967-a804-a63eda4f8657,500 mg,
0970ff69-554c-449e-bdcf-dabf4e802862,,02862 - DIGOXINA 250 µg (0.25 mg),DIGOXINA,bd1e9059-62b4-4967-a804-a63eda4f8657,250 µg (0.25 mg),
6458317e-120d-4bb1-ac83-140f41202881,,02881 - DILTIAZEM CLORHIDRATO 60 mg,DILTIAZEM CLORHIDRATO,bd1e9059-62b4-4967-a804-a63eda4f8657,60 mg,
32460cfa-3cea-4302-917e-4f70cc302884,,02884 - DIMENHIDRINATO 50 mg 5 mL,DIMENHIDRINATO,6eee6dc1-1976-4f1f-928e-0575aa94a0af,50 mg 5 mL,
e31b61b4-263b-4905-ac7e-e8ff97102891,,02891 - DIMENHIDRINATO 50 mg,DIMENHIDRINATO,bd1e9059-62b4-4967-a804-a63eda4f8657,50 mg,
0191f33c-50a6-4444-b088-bdba6ea02922,,02922 - SIMETICONA 80 mg/mL 15 mL,SIMETICONA,cb0d9718-b01a-4850-a8e5-b59c2d3f38a8,80 mg/mL 15 mL,
