Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Fully specified name:es,Short name:es,Description:en,Data class,Data type,Answers,Members,Allow decimals,_version:1,_order:1000,
b81999c6-2188-4b16-bf7e-43fac9d525ce,,,Security,Security,Vigilancia,Vigilancia,,Misc,Numeric,,,,,,
526b25db-20f4-4d91-8463-f00453f67566,,,Cable,Cable,Cable,Cable,,Misc,Numeric,,,,,,
141fcbf3-441c-436f-aef7-ccc4dad3c1aa,,,Transport,Transport,Transporte,Transporte,,Misc,Numeric,,,,,,
74c6475b-3c68-4950-b607-9b92423668a1,,,Tuition,Tuition,Colegiaturas,Colegiaturas,,Misc,Numeric,,,,,,
8e87369b-65fa-4ba5-9d3f-e346d8b60bcf,,,Food,Food,Alimentación,Alimentación,,Misc,Numeric,,,,,,
5c22ba3c-d19e-444f-a32d-661e303d2f10,,,Loans,Loans,Prestamos,Prestamos,,Misc,Numeric,,,,,,
eececb97-0124-42bf-bd3e-25309d22443d,,,Medicines,Medicines,Medicinas,Medicinas,,Misc,Numeric,,,,,,
504a8c1e-7fa5-4f61-8016-471d35564cfb,,,Domestic work,Domestic work,Empleada domestica,Empleada domestica,,Misc,Numeric,,,,,,
4d6892b2-0491-4b11-90e6-224102c9333b,,,Social Security,Social Security,IHSS,IHSS,,Misc,Numeric,,,,,,
2e8c5896-e0e3-482a-96ab-ff770ac68649,,,Health insurance,Health insurance,Seguro Medico,Seguro Medico,,Misc,Numeric,,,,,,
b4a5ee42-4841-4efc-afe4-0668a52acb1e,,,Vehicle/Motorcycle Maintenance,Vehicle/Motorcycle Maintenance,Mantenimiento delVehículo/Moto,Mantenimiento del Vehículo/Moto,,Misc,Numeric,,,,,,
034c62e1-fd85-4fce-86ce-75d2683a365f,,,Monthly expenses,Monthly expenses,Egresos mensuales,Egresos mensuales,,Convset,N/A,,Living place;Water;Light;Telephone;Security;Cable;Transport;Tuition;Food;Loans;Medicines;Domestic work;Social Security;Health insurance;Vehicle/Motorcycle Maintenance,,,,
bf24f435-1a2a-4ce7-900b-b20b7e14809d,,,School Supplies,School Supplies,Útiles escolares,Útiles escolares,,Misc,Numeric,,,,,,
5268eeb7-3e50-4943-bc96-f6724b31803e,,,Clothing,Clothing,Vestuario,Vestuario,,Misc,Numeric,,,,,,
7d384055-3cdd-4abf-8d7a-871a261f1253,,,Property,Property,Bienes inmuebles,Bienes inmuebles,,Misc,Numeric,,,,,,
3090b9bb-ba99-420e-9580-32b194f47577,,,Vehicle registration,Vehicle registration,Matrícula del Vehículo,Matrícula del Vehículo,,Misc,Numeric,,,,,,
c85f08df-2b66-4064-ba06-0ffc0aaa23ad,,,Annual expenses,Annual expenses,Egresos anuales,Egresos anuales,,Convset,N/A,,School Supplies;Clothing;Property;Vehicle registration,,,,
61d7a412-82cd-48cd-a78a-67d42cb15bdb,,,Other illnesses,Other illnesses,Otras enfermedades que padece,Otras enfermedades que padece,,Misc,Text,,,,,,
c9901fa4-6146-4bd8-b7c2-b0530150cbaa,,,Medical Centre,Medical Centre,Nombre del Medico / Centro que visita,Nombre del Medico / Centro que visita,,Misc,Text,,,,,,
9cc5c7a4-abe2-46cc-9ddb-c8843de5abaf,,,Daily medications,Daily medications,Medicamentos de uso permanente,Medicamentos de uso permanente,,Misc,Text,,,,,,
7a1eb263-97ea-477c-b2bf-4287c532132f,,,Health,Health,Salud,Salud,,Convset,N/A,,Other illnesses;Medical Centre;Daily medications,,,,
943800a4-a17d-4af9-a914-4f0ca49157bb,,,Owned,Owned,Propio,Propio,,Misc,N/A,,,,,,
736f6f89-5372-4468-a862-1632c95a7157,,,Bus,Bus,Bus L,Bus L,,Misc,N/A,,,,,,
7feb0678-5773-4a14-a779-915db8e724ea,,,Details,Details,Detalles,Detalles,,Misc,Text,,,,,,
7ed3c774-6889-4fc7-8eb6-4df288d839e3,,,Duration,Duration,Duración,Duración,,Misc,Numeric,,,,,,
d0d7c109-32ad-48f5-8b0c-de39923347d4,,,Time Units,,Unidades de tiempo,Unidades de tiempo,,Misc,Coded,Minute(s);Hour(s);Day(s);Week(s);Month(s);Year(s),,,,,
6987d444-bd94-4818-8654-0053692dc528,,,Child's Grade,Child's Grade,Grado del niño,Grado del niño,,Misc,Coded,Uneducated;Secondary and below;Baccalaureate;University;Postgraduate,,,,,
54f6cc16-e596-43cf-a22a-885f8d7df437,,,Transportation you use to come to HFSC,Transportation you use to come to HFSC,Transporte que utiliza para venir al HFSC,Transporte que utiliza para venir al HFSC,,Question,Coded,Owned;Rented;Bus;Other,,,,,
2cb580e1-77e6-4734-be41-65af5dc80c3c,,,"Scheduled Surgery ",Scheduled Surgery,Cirugía a realizarse,Cirugía a realizarse,,Misc,Text,,,,,,
c68b8398-c39d-4b2c-9614-a32d223f6a44,,,Observations,Observations,Observaciones,Observaciones,,Misc,Text,,,,,,
2ecc4243-4409-4f59-a38e-6ece64360aaf,,,Face-to-face,Face-to-face,Presencial,Presencial,,Misc,N/A,,,,,,
6eb10bef-9fcf-482f-8ee8-9aca8ab14f70,,,Interview method,Interview method,Entrevista fue,Entrevista fue,,Question,Coded,Face-to-face;Telephone,,,,,
0f38dd50-95b0-4226-b418-a3d78f253842,,CIEL:1640,Date,Date,Date,Date,,Misc,Date,,,,,,
