uuid,Void/Retire,Fully specified name:en,Description:en,Data class,Data type,Answers,Members,Same as mappings,Short name:en,Fully specified name:es,Short name:es,Fully specified name:fr,Short name:fr,Fully specified name:ht,Short name:ht,Absolute high,Critical high,Normal high,Absolue low,Critical low,Normal low,Units,Display precision,Allow decimals,Complex data handler
160541AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Tuberculosis treatment program,,Misc,N/A,,,CIEL:160541,TB Program,,,Programme de la tuberculose,,,,,,,,,,,,,
160542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Outpatient department,,Misc,N/A,,,AMPATH:1965;CIEL:160542;PIH:1651;SNOMED-CT:33022008,,,,Service de consultation externe,,Depatman ekstÃÂÃÂ¨n,,,,,,,,,,,
159938AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Home based HIV testing program,,Misc,N/A,,,,HCT program,,,Programme de dÃ©pistage du VIH Ã  domicile,,Pwogram tÃ¨s VIH sante kominote,,,,,,,,,,,
159939AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,mobile voluntary counseling and testing program,,Misc,Coded,,,,mobile VCT program,,,,,,,,,,,,,,,,
159635AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Contact phone number,Telephone number to contact person.,Question,Text,,,org.openmrs.module.mdrtb:TELEPHONE NUMBER;SNOMED-CT:184103008,,,,TÃ©lÃ©phone de la personne Ã  contacter,,TelefÃ²n moun pou kontakte,,,,,,,,,,,
166102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,First name,,Question,Text,,,PIH:2725;SNOMED-CT:408677003,,,,,,,,,,,,,,,,,
165089AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,HIV-1 rapid recency assay,,Test,N/A,,,,,,,,,,,,,,,,,,,,
165915AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"Country of residence, coded",,Finding,Coded,,,SNOMED-CT:416647007,,,,,,,,,,,,,,,,,
160082AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,HIV test result received date,When did the patient receive the HIV test result?,Misc,Date,,,,,,,,,,,,,,,,,,,,
159940AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Voluntary counseling and testing center,The office of the VCT program for HIV.,Misc,N/A,,,,VCT center,,,Conseil volontaires et le centre d'essai,,Sant konsÃ¨y volontÃ¨ ak tÃ¨s,,,,,,,,,,,
133027AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Night sweats,"Sleep hyperhidrosis, more commonly known as the night sweats, is the occurrence of excessive sweating (hyperhidrosis) during sleep. The sufferer may or may not also suffer from excessive perspiration while awake. Sleep hyperhidrosis may occur at any age, but is most commonly seen in early adulthood.
\nref: http://en.wikipedia.org/wiki/Night_sweats",Diagnosis,Boolean,,,3BT:10063085;AMPATH:6029;ICPC2:A09;IMO-ProblemIT:50760;PIH:6029;SNOMED-CT:42984000,,sudoraciÃ³n nocturna,,Sueurs nocturnes,,Sue lannuit,,,,,,,,,,,
135704AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Lives alone,,Diagnosis,N/A,,,ICD-10-WHO:Z60.2;IMO-ProblemIT:35329;SNOMED-CT:105529008,,vive solo,,Vit seul,,Viv pou kont li,,,,,,,,,,,
138905AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Hemoptysis,Bronchial hemorrhage manifested with spitting of blood.,Diagnosis,N/A,,,3BT:10040493;AMPATH:967;ICD-10-WHO:R04.2;ICPC2:R24;IMO-ProblemIT:27441;PIH:970;SNOMED-CT:66857006,,hemoptisis,,HÃ©moptysie,,Emoptysis,,,,,,,,,,,
5489AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Mental health services,none,Misc,N/A,,,AMPATH:5489;SNOMED-CT:390808007,,,,,,,,,,,,,,,,,
5555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Married,Wedded to another person.,Finding,N/A,,,AMPATH:5555;SNOMED-CT:87915002,,,,MariÃ©,,Marie,,,,,,,,,,,
5485AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Inpatient care or hospitalization,none,Misc Order,N/A,,,AMPATH:5485;CIEL:5485;PIH:1429;SNOMED-CT:394656005,,,,Patient hospitalisÃÂÃÂ©,,EntÃÂÃÂ¨ne lopital,,,,,,,,,,,
5483AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Family planning services,none,Procedure,Boolean,,,AMPATH:5483;SNOMED-CT:310031001,,,,Service de Planification familaile,,Sevis planin,,,,,,,,,,,
5576AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ARV for mother,ARVs given for PMTCT to mother during antenatal period. See concept 159595 for during labor and delivery.,Procedure,Boolean,,,AMPATH:5576;PIH:1446;SNOMED-MVP:55761000105009,,,,ARV pour les mÃ¨res,,,,,,,,,,,,,
5486AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Social support services,none,Misc,Numeric,,,AMPATH:5486;SNOMED-MVP:54861000105000,,,,Services de soutien social,,SÃVIS SIPÃ SOSYAL,,,,,,,,,,0,
1459AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Diagnostic testing and counseling for HIV,Referral for diagnostic testing and counseling (DTC),Misc Order,Boolean,,,AMPATH:2177,DTC,,,Test de diagnostic et Conseil POUR VIH,,,,,,,,,,,,,
1710AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Informed consent,Documentation that someone has given informed consent,Question,Boolean,,,SNOMED-CT:182771004,Informed consent,,,Consentement donnÃ©,,,,,,,,,,,,,
1370AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Voluntary counseling and testing for HIV,,Misc Order,Boolean,,,,VCT HIV,,,VCT pour VIH,,,,,,,,,,,,,
1494AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Fever lasting more than three weeks,,Diagnosis,Boolean,,,,,,,FiÃ¨vre de plus de trois semaines,,,,,,,,,,,,,
1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Indeterminate,"Descriptive term: not precisely defined, determinable, or established.",Misc,N/A,,,AMPATH:1138;CIEL:1138;SNOMED-CT:82334004,,,,IndÃ©terminÃ©,,Endetemine,,,,,,,,,,,
1611AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Referral for opportunistic infection treatment,Referral to another institution for the purpose of evaluation or treatment of opportunistic infection (OI).,Misc Order,N/A,,,SNOMED-MVP:16111000105007,,,,Consultation pour traitement d'infection,,,,,,,,,,,,,
5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Other non-coded,"A generic, descriptive answer which is a handwritten, non-coded response to a question.",Misc,N/A,,,AMPATH:5622;CIEL:5622;org.openmrs.module.mdrtb:OTHER;PIH:5622;PIH-Malawi:6408;SNOMED-MVP:56221000105001,,,,,,,,,,,,,,,,,
1374AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dental care referral,,Misc Order,Boolean,,,SNOMED-CT:103697008,Dental care,,,RÃ©fÃ©rence traitement dentaire,,,,,,,,,,,,,
1275AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Health center hospital,"Low acuity, short stay ""hospitals"" that are related to each clinical site.",Misc,N/A,,,AMPATH:1275;CIEL:1275;SNOMED-MVP:12751000105006,,,,,,,,,,,,,,,,,
1167AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Disclosure counseling,,Misc,N/A,,,AMPATH:1167;SNOMED-MVP:11671000105001,,,,Assistance au devoilement,,Konsey sou devwalman,,,,,,,,,,,
1304AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Poor sample quality,,Misc,N/A,,,AMPATH:1304;CIEL:1304;SNOMED-MVP:13041000105002,Psq,,,Echantillon de pauvre qualitÃÂÃÂ©,,ECHANTIYON kalite PÃÂÃÂ²v,,,,,,,,,,,
1373AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ophthalmology referral,,Misc Order,Boolean,,,SNOMED-CT:183543004,Eye care,,,RÃ©fÃ©rence en ophtalmologie,,,,,,,,,,,,,
1371AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Prenatal care referral,,Misc Order,Boolean,,,SNOMED-CT:183548008,Prenatal Care,,,Soins PrÃ©natal,,swen pendan groses,,,,,,,,,,,
1056AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Separated,Answer which describes a type of civil status.,Misc,N/A,,,AMPATH:1056;SNOMED-CT:13184001,,,,SÃ©parÃ©,,Separe,,,,,,,,,,,
1059AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Widowed,Answer which describes a type of civil status.,Misc,N/A,,,AMPATH:1059;SNOMED-CT:33553000,,,,Veuf/veuve,,VÃ¨f/vÃ¨v,,,,,,,,,,,
1354AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Village,Village is the name of the location of residence. May also be called a city.,Question,Text,,,AMPATH:5940;PIH:2710;SNOMED-CT:433178008,Village,,,Commune,,Komin,,,,,,,,,,,
1492AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,History of HIV test,In past 12 months,Question,Boolean,,,,,,,Historique du test de VIH,,,,,,,,,,,,,
1058AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Divorced,Answer which describes a type of civil status.,Misc,N/A,,,AMPATH:1058;SNOMED-CT:20295000,,,,Divorce,,Divose,,,,,,,,,,,
1057AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Never married,Answer which describes a type of civil status.,Misc,N/A,,,AMPATH:1057;SNOMED-CT:125725006,,,,Jamais mariÃ©(e) (cÃ©libataire),,Pa janm marie,,,,,,,,,,,
1372AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Postnatal care referral,,Misc Order,Boolean,,,SNOMED-CT:183861004,Postnatal Care,,,Consultation soins prÃ©nataux,,,,,,,,,,,,,
1473AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Name of health care provider,,Question,Text,,,CIEL:1473;PIH:1392,,,,Nom du prestataire de service,,Non founisÃÂÃÂ¨ swen sante,,,,,,,,,,,
1060AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Living with partner,Answer which describes a type of civil status.,Misc,N/A,,,AMPATH:1060;SNOMED-CT:408821002,,,,Vit maritalement,,Viv ak patnÃ¨,,,,,,,,,,,
1054AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Civil status,"More detailed description of the following encounter form question:  ""Are you currently married or living with a partner?""",Question,Coded,Divorced;Lives alone;Living with partner;Married;Never married;Other non-coded;Separated;Widowed,,AMPATH:1054;PIH:3350;PIH-Malawi:1054;SNOMED-CT:365581002,Civ_stat,,,Ãtat civil,,Eta sivil,,,,,,,,,,,
664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Negative,Response to a finding or test result.,Misc,N/A,,,AMPATH:664;AMPATH:665;CIEL:664;org.openmrs.module.mdrtb:NEGATIVE;PIH:664;SNOMED-CT:260385009,,Negativo,,NÃ©gatif,,NÃ©gatif,,,,,,,,,,,
165095AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,General patient note,A general patient note,Question,Text,,,CIEL:165095,,,,,,,,,,,,,,,,,
5092AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Arterial blood oxygen saturation (pulse oximeter),"Oxygen saturation, as measured from a peripheral oximeter.",Test,Numeric,,,AMPATH:5092;CIEL:5092;SNOMED CT:431314004,SpO2,,,Saturation d'oxygÃÂÃÂ¨ne dans le sang,,,,100,,,,89,92,%,,0,
5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Systolic blood pressure,A patient's systolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position),Finding,Numeric,,,AMPATH:5085;CIEL:5085;PIH:5085;SNOMED CT:271649006,SBP,,,Tension arterielle systolique,,,,250,180,140,,85,100,mmHg,,0,
5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Diastolic blood pressure,A patient's diastolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position),Finding,Numeric,,,AMPATH:5086;CIEL:5086;LOINC:35094-2;PIH:5086;SNOMED CT:271650006,DBP,,,Tension arterielle diastolique,,,,150,120,90,,40,55,mmHg,,0,
5088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,TempÃÂÃÂ©rature (c),Patient's temperature in degrees centigrade.,Finding,Numeric,,,AMPATH:5088;CIEL:5088;PIH:5088,Temp (c),,,TempÃÂÃÂ©rature (c),,,,43,,,,,,DEG C,,0,
5090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Height (cm),Patient's height in centimeters.,Finding,Numeric,,,AMPATH:5090;CIEL:5090;PIH:5090,HT,,,Taille (cm),,,,272,,,,,,cm,,0,
5089AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Weight (kg),Patient's weight in kilograms.,Finding,Numeric,,,AMPATH:5089;CIEL:5089;PIH:5089,WT,,,Poids (kg),,,,250,,,,,,kg,,0,
5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Pulse,"Patient pulse rate, as measured with a peripheral oximeter.",Finding,Numeric,,,AMPATH:5087;CIEL:5087;PIH:5087;SNOMED CT:78564009,HR,,,Pouls,,,,230,130,100,,49,55,beats/min,,0,
1343AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Mid-upper arm circumference,"MUAC is the circumference of the left upper arm, measured at the mid-point between the tip of the shoulder and the tip of the elbow. MUAC is useful for the assessment of nutritional status.",Finding,Numeric,,,AMPATH:1343;CIEL:1343;PIH:1290;SNOMED CT:284473002,MUAC,,,CirconfÃÂÃÂ©rence du haut du bras,,,,,,,,,,cm,,0,
5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Respiratory rate,Measured respiratory rate in breaths per minute,Finding,Numeric,,,AMPATH:5242;CIEL:5242;PIH:5242;SNOMED CT:86290005,RR,,,Rythme respiratoire,,,,999,26,18,,8,12,breaths/min,,0,
5283AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Karnofsky performance score,Zero to 100 scale commonly used for assessing terminally ill patients.,Finding,Numeric,,,AMPATH:5283;CIEL:5283,KPS,,,,,,,,,,,,,%,0,0,
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Yes,Generic answer to a question.,Misc,N/A,,,AMPATH:1065;CIEL:1065;PIH:1065;PIH-Malawi:1065;SNOMED CT:373066001;SNOMED-CT:373066001,,SÃÂÃÂ­,,Oui,,,,,,,,,,,,,
1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Unknown,Generic answer to a question.,Misc,N/A,,,AMPATH:1067;CIEL:1067;org.openmrs.module.mdrtb:UNKNOWN;PIH:1067;SNOMED CT:261665006;SNOMED-CT:261665006,,Desconocido,,Ne sait pas,,,,,,,,,,,,,
0016512d-4388-44f0-a4b6-f6ad9e18fdcd,,Mild persistent asthma (J45.9),,Diagnosis,N/A,,,ICD-10:J45.9,Mild persistent asthma,,,Asthme persistant lÃÂÃÂ©ger (J45.9),Asthme persistant lÃÂÃÂ©ger,,,,,,,,,,,,
faf06026-fce9-4d2c-9ef2-24fb45343804,,Complaints of genital sores or swollen inguinal lymph nodes with or without pains,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
d8e46cc0-4d08-45d9-a46d-bd083db63057,,Complaints of scrotal swelling and pain (Male),,Misc,N/A,,,,,,,,,,,,,,,,,,,,
60817acb-90f1-4d46-be87-2c47e150770b,,Complaints of urethral discharge or burning when urinating (Male),,Misc,N/A,,,,,,,,,,,,,,,,,,,,
06be8996-ef55-438b-bbb9-5bebeb18e779,,Complaints of lower abdominal pains with or without  vaginal discharge (Female),,Misc,N/A,,,,,,,,,,,,,,,,,,,,
9a24bedc-d42c-422e-9f5d-371b59af0660,,Complaints of vaginal discharge or burning when urinating (Female),,Misc,N/A,,,,,,,,,,,,,,,,,,,,
09472f39-6030-4f71-a8f2-30b2fdc734ed,,Couple Counselling,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
02586245-99c3-4d47-ac34-7121156afeab,,Group Counselling,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
0c78532a-f2e8-4793-874e-90b0c9485cef,,Individual Counselling,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
0473ec07-2f34-4447-9c58-e35a1c491b6f,,Type of Counselling Session,,Question,Coded,Couple Counselling;Group Counselling;Individual Counselling,,,,,,,,,,,,,,,,,,,
07a6f86e-388b-416e-b1ed-4b4e543a6406,,Months Since Last HIV Test,,Misc,Numeric,,,,,,,,,,,,,,,,,,,0,
42dd1e18-00cb-471c-911c-cb254d5b01a5,,Community Level testing,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
5995ebd5-11ae-47ca-ac12-bcb8c0117aec,,Facility Level Testing,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
13abe5c9-6de2-4970-b348-36d352ee8eeb,,HTS Testing Location,,Question,Coded,Community Level testing;Facility Level Testing,,,,,,,,,,,,,,,,,,,
dc1058ea-4edd-4780-aeaa-a474f7f3a437,,Refugees,Refugees,Misc,Text,,,OHTSTemp:Refugees,,,,,,,,,,,,,,,,,
e6924b2c-8f27-44d8-8228-9c5d2e8eae84,,Client Initiated Testing and Counselling,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
def00c73-f6d5-42fb-bcec-0b192b5be22d,,Fisher Folk,Fisher Folk,Misc,Text,,,OHTSTemp:Fisherfolk,,,,,,,,,,,,,,,,,
678f3144-302f-493e-ba22-7ec60a84732a,,Adolescent Girls & Young Women,Adolescent Girls & Young Women,Misc,Text,,,OHTSTemp:AGYW,,,,,,,,,,,,,,,,,
e7be3c0c-21bc-498d-a04c-ea7af01be5f9,,Intravenous Drug Users,People who inject drugs intravenously,Misc,N/A,,,,,,,,,,,,,,,,,,,,
b282bb08-62a7-42c2-9bea-8751c267d13e,,Uniformed Forces,People in the uniformed/disciplined forces,Misc,Text,,,OHTSTemp:UniformedForces,,,,,,,,,,,,,,,,,
63ea75cb-205f-4e7b-9ede-5f9b8a4dda9f,,Migrant Workers,Migrant Workers,Misc,Text,,,OHTSTemp:MigrantWorkers,,,,,,,,,,,,,,,,,
22b202fc-67de-4af9-8c88-46e22559d4b2,,Transgender Persons,Transgender persons,Misc,Text,,,OHTSTemp:Transgender,,,,,,,,,,,,,,,,,
8da9bf92-22f6-40be-b468-1ad08de7d457,,Prisoners,People living in prisons and other closed quarters (prisoners),Misc,Text,,,OHTSTemp:Prisoners,,,,,,,,,,,,,,,,,
437d1e25-e7ab-481c-aabc-01f21c6cdef1,,HTS Provider Remarks,,Misc,Text,,,,,,,,,,,,,,,,,,,,
7398c91a-8db8-480d-8130-1a92cc208ded,,Inconclusive HIV Result,Client with an inconclusive HIV result,Misc,N/A,,,,,,,,,,,,,,,,,,,,
a6ad599d-2bc4-47b7-81fe-a38e88867c1d,,Self Initiative,Client's self initiative to get a HIV test,Misc,N/A,,,,,,,,,,,,,,,,,,,,
0e65e5fd-a1d8-4730-a991-75a1d703cba6,,HIV Self Test Positive,Client who has a positive HIV Self Test,Misc,N/A,,,,,,,,,,,,,,,,,,,,
6e768c50-a239-45ff-9920-2c6a9352320e,,Index Client Testing,Index Client Testing Other than APN,Misc,N/A,,,,,,,,,,,,,,,,,,,,
cb099534-b609-4561-9d4c-dd2fc74cedaf,,Assisted Partner Notification (APN),,Misc,N/A,,,,,,,,,,,,,,,,,,,,
ce3816e7-082d-496b-890b-a2b169922c22,,Reason for HIV Testing,,Question,Coded,Assisted Partner Notification (APN);HIV Self Test Positive;Inconclusive HIV Result;Index Client Testing;Self Initiative,,,,,,,,,,,,,,,,,,,
162198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Long distance truck driver,,Misc,N/A,,,CIEL:162198;SNOMED-CT:87447002,,,,,,,,,,,,,,,,,
42ed45fd-f3f6-44b6-bfc2-8bde1bb41e00,,ATT DEFAULT ATTACHMENT,Concept complex for 'default attachment' complex obs.,Question,Complex,,,,,,,,,,,,,,,,,,,,DefaultAttachmentHandler
7cac8397-53cd-4f00-a6fe-028e8d743f8e,,ATT IMAGE ATTACHMENT,Concept complex for 'image attachments with thumbnails' complex obs.,Question,Complex,,,,,,,,,,,,,,,,,,,,ImageAttachmentHandler
780c8ff2-5e11-48f8-ad3d-efa36a0413f6,,HIV SD Bioline Kit,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
0d64d0d0-8dcb-4a56-819c-999d52f04db8,,HIV Stat Pack Kit,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
a099ce71-d75e-433d-a782-0b9ad4f4f655,,HIV First Response Kit,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
59ec348a-14a8-4e88-9b9e-72fa24b949fa,,HIV-Syphilis Duo Kit,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
5e318e60-3108-4468-90cd-7f2dc1c596a6,,HIV Determine Kit,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
7ac53e4f-c5c4-4bd9-a948-1df1fb73740a,,Hotspot,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
b12b2d5e-9e9b-4af8-b326-a9de5ea0acfe,,Drop In Centre,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
c15aecde-acac-49b6-bffe-cd1bb291c28b,,Workplace,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
261855fb-32d6-43c3-b0bf-e8737db154f7,,Family Planning Clinic,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
6007b076-9e67-47e5-8e57-ee5d1331fbe0,,Post Natal Program,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
165475AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Antenatal program,,Program,N/A,,,,,Programa de Cuidado Prenatal,,,,,,,,,,,,,,,
160552AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Nutrition program,,Misc,N/A,,,CIEL:160552;PIH:1845,,,,Programme de nutrition,,,,,,,,,,,,,
160546AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Sexually transmitted infection program/clinic,,Misc,N/A,,,CIEL:160546;PIH:1786;SNOMED-CT:25681007,,,,Programme d'infections sexuellement transmissibles,,,,,,,,,,,,,
160545AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Outreach program,,Misc,N/A,,,CIEL:160545;PIH:1785,,,,Programme d'assistance,,,,,,,,,,,,,
74a3b695-30f7-403b-8f63-3f766461e104,,Community Service Delivery Point,,Question,Coded,Drop In Centre;Home based HIV testing program;Hotspot;mobile voluntary counseling and testing program;Other non-coded;Outreach program;Voluntary counseling and testing center;Workplace,,,,,,,,,,,,,,,,,,,
162050AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Comprehensive care center,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
164835AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Labor and delivery unit,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
80bcc9c1-e328-47e8-affe-6d1bffe4adf1,,Facility Service Delivery Point,,Question,Coded,Antenatal program;Comprehensive care center;Family Planning Clinic;Inpatient care or hospitalization;Labor and delivery unit;Nutrition program;Other non-coded;Outpatient department;Post Natal Program;Sexually transmitted infection program/clinic;Tuberculosis treatment program,,,,,,,,,,,,,,,,,,,
d3205b6a-7192-461f-9ea8-a1ac8af38964,,Patient Clinic Identification Number,Unique patient identification number assigned at the ART Clinic,Misc,Numeric,,,,ART Number,,,,,,,,,,,,,,,0,
65e18678-18db-4801-9625-50d3302c780c,,HIV Rapid Recency Test Conducted?,Test for HIV recency if the final result is positive,Question,Coded,,,,Recency Test Done?,,,,,,,,,,,,,,,,
3a27187f-da7a-4f6b-986d-6521f343326d,,Concordant Positive,,Misc,Text,,,,,,,,,,,,,,,,,,,,
c1504c2b-a8bf-44bf-ab1e-1d342ba051ae,,Concordant Negative,,Misc,Text,,,,,,,,,,,,,,,,,,,,
c2d2bea8-2db5-4730-86b1-592c9408f567,,Discordant,,Misc,Text,,,,,,,,,,,,,,,,,,,,
5f38bc97-d6ca-43f8-a019-b9a9647d0c6a,,Couple Results,,Question,Coded,Concordant Negative;Concordant Positive;Discordant,,,,,,,,,,,,,,,,,,,
